o_node,d_node,origin,destination,travel_time,iteration,edge_type
1554-0-4-58,1218-0-99-99,1554,1218,136.0,0,Streetcar Route
1620-0-4-58,1220-0-99-99,1620,1220,139.0,0,Streetcar Route
1197-0-4-58,1227-0-99-99,1197,1227,38.0,0,Streetcar Route
1233-0-4-58,1227-0-99-99,1233,1227,103.0,0,Streetcar Route
1560-0-4-58,1243-0-99-99,1560,1243,63.0,0,Streetcar Route
1575-0-4-58,1243-0-99-99,1575,1243,130.0,0,Streetcar Route
1224-0-4-58,1247-0-99-99,1224,1247,83.0,0,Streetcar Route
1251-0-4-58,1247-0-99-99,1251,1247,54.0,0,Streetcar Route
1524-0-4-58,1253-0-99-99,1524,1253,100.0,0,Streetcar Route
1383-0-4-58,1260-0-99-99,1383,1260,160.0,0,Streetcar Route
1110-0-4-58,1272-0-99-99,1110,1272,67.0,0,Streetcar Route
1250-0-4-58,1275-0-99-99,1250,1275,43.0,0,Streetcar Route
1144-0-4-58,1277-0-99-99,1144,1277,105.0,0,Streetcar Route
1347-0-4-58,1285-0-99-99,1347,1285,82.0,0,Streetcar Route
1431-0-4-58,1285-0-99-99,1431,1285,137.0,0,Streetcar Route
1544-0-4-58,1298-0-99-99,1544,1298,132.0,0,Streetcar Route
1131-0-4-58,1299-0-99-99,1131,1299,124.0,0,Streetcar Route
1271-0-4-58,1307-0-99-99,1271,1307,94.0,0,Streetcar Route
1290-0-4-58,1307-0-99-99,1290,1307,84.0,0,Streetcar Route
1353-0-4-58,1307-0-99-99,1353,1307,48.0,0,Streetcar Route
1458-0-4-58,1313-0-99-99,1458,1313,131.0,0,Streetcar Route
1124-0-4-58,1317-0-99-99,1124,1317,33.0,0,Streetcar Route
1326-0-4-58,1317-0-99-99,1326,1317,63.0,0,Streetcar Route
1133-0-4-58,1331-0-99-99,1133,1331,104.0,0,Streetcar Route
1177-0-4-58,1355-0-99-99,1177,1355,106.0,0,Streetcar Route
1110-0-4-58,1356-0-99-99,1110,1356,99.0,0,Streetcar Route
1039-0-4-58,1357-0-99-99,1039,1357,103.0,0,Streetcar Route
1385-0-4-58,1358-0-99-99,1385,1358,100.0,0,Streetcar Route
1021-0-4-58,1361-0-99-99,1021,1361,109.0,0,Streetcar Route
1062-0-4-58,1371-0-99-99,1062,1371,116.0,0,Streetcar Route
1173-0-4-58,1378-0-99-99,1173,1378,128.0,0,Streetcar Route
1232-0-4-58,1378-0-99-99,1232,1378,152.0,0,Streetcar Route
1342-0-4-58,1378-0-99-99,1342,1378,107.0,0,Streetcar Route
1351-0-4-58,1379-0-99-99,1351,1379,101.0,0,Streetcar Route
1021-0-4-58,1386-0-99-99,1021,1386,117.0,0,Streetcar Route
1249-0-4-58,1388-0-99-99,1249,1388,165.0,0,Streetcar Route
