o_node,d_node,origin,destination,travel_time,iteration
1110-0-4-30,1065-0-99-99,1110,1065,27.0,1
1122-0-4-30,1065-0-99-99,1122,1065,51.0,1
1202-0-4-30,1065-0-99-99,1202,1065,110.0,1
1424-0-4-30,1065-0-99-99,1424,1065,89.0,1
1572-0-4-30,1065-0-99-99,1572,1065,181.0,1
1122-0-4-30,1066-0-99-99,1122,1066,51.0,1
1263-0-4-30,1067-0-99-99,1263,1067,67.0,1
1120-0-4-30,1068-0-99-99,1120,1068,57.0,1
1330-0-4-30,1068-0-99-99,1330,1068,88.0,1
1602-0-4-30,1068-0-99-99,1602,1068,136.0,1
1606-0-4-30,1068-0-99-99,1606,1068,124.0,1
1483-0-4-30,1070-0-99-99,1483,1070,121.0,1
1510-0-4-30,1076-0-99-99,1510,1076,129.0,1
1600-0-4-30,1076-0-99-99,1600,1076,147.0,1
1039-0-4-30,1078-0-99-99,1039,1078,42.0,1
1524-0-4-30,1078-0-99-99,1524,1078,125.0,1
1562-0-4-30,1078-0-99-99,1562,1078,188.0,1
1365-0-4-30,1080-0-99-99,1365,1080,107.0,1
1143-0-4-30,1085-0-99-99,1143,1085,65.0,1
1513-0-4-30,1090-0-99-99,1513,1090,148.0,1
1132-0-4-30,1104-0-99-99,1132,1104,51.0,1
1389-0-4-30,1113-0-99-99,1389,1113,101.0,1
1286-0-4-30,1114-0-99-99,1286,1114,49.0,1
1022-0-4-30,1116-0-99-99,1022,1116,37.0,1
1400-0-4-30,1118-0-99-99,1400,1118,97.0,1
1116-0-4-30,1124-0-99-99,1116,1124,34.0,1
1412-0-4-30,1139-0-99-99,1412,1139,120.0,1
1524-0-4-30,1141-0-99-99,1524,1141,140.0,1
1046-0-4-30,1142-0-99-99,1046,1142,78.0,1
1130-0-4-30,1145-0-99-99,1130,1145,35.0,1
1153-0-4-30,1146-0-99-99,1153,1146,90.0,1
1382-0-4-30,1150-0-99-99,1382,1150,114.0,1
1133-0-4-30,1156-0-99-99,1133,1156,61.0,1
1572-0-4-30,1157-0-99-99,1572,1157,196.0,1
1544-0-4-30,1160-0-99-99,1544,1160,121.0,1
1176-0-4-30,1168-0-99-99,1176,1168,32.0,1
1212-0-4-30,1170-0-99-99,1212,1170,125.0,1
1588-0-4-30,1180-0-99-99,1588,1180,132.0,1
1595-0-4-30,1187-0-99-99,1595,1187,126.0,1
1186-0-4-30,1202-0-99-99,1186,1202,30.0,1
1223-0-4-30,1203-0-99-99,1223,1203,106.0,1
1139-0-4-30,1211-0-99-99,1139,1211,65.0,1
1166-0-4-30,1218-0-99-99,1166,1218,80.0,1
1523-0-4-30,1218-0-99-99,1523,1218,64.0,1
1554-0-4-30,1218-0-99-99,1554,1218,64.0,1
1620-0-4-30,1220-0-99-99,1620,1220,167.0,1
1197-0-4-30,1227-0-99-99,1197,1227,36.0,1
1233-0-4-30,1227-0-99-99,1233,1227,129.0,1
1560-0-4-30,1243-0-99-99,1560,1243,91.0,1
1575-0-4-30,1243-0-99-99,1575,1243,158.0,1
1224-0-4-30,1247-0-99-99,1224,1247,111.0,1
1251-0-4-30,1247-0-99-99,1251,1247,54.0,1
1524-0-4-30,1253-0-99-99,1524,1253,73.0,1
1383-0-4-30,1260-0-99-99,1383,1260,140.0,1
1110-0-4-30,1272-0-99-99,1110,1272,52.0,1
