o_node,d_node,origin,destination,travel_time,iteration
1513-0-4-48,1503-0-99-99,1513,1503,61.0,0
1021-0-4-48,1519-0-99-99,1021,1519,100.0,0
1495-0-4-48,1529-0-99-99,1495,1529,94.0,0
1428-0-4-48,1530-0-99-99,1428,1530,120.0,0
1443-0-4-48,1530-0-99-99,1443,1530,110.0,0
1577-0-4-48,1536-0-99-99,1577,1536,135.0,0
1569-0-4-48,1543-0-99-99,1569,1543,102.0,0
1182-0-4-48,1544-0-99-99,1182,1544,128.0,0
1021-0-4-48,1545-0-99-99,1021,1545,97.0,0
1515-0-4-48,1561-0-99-99,1515,1561,52.0,0
1245-0-4-48,1582-0-99-99,1245,1582,98.0,0
1154-0-4-48,1599-0-99-99,1154,1599,142.0,0
1562-0-4-48,1607-0-99-99,1562,1607,86.0,0
1436-0-4-48,1081-0-99-99,1436,1081,118.0,0
1506-0-4-48,1002-0-99-99,1506,1002,109.0,1
1126-0-4-48,1006-0-99-99,1126,1006,91.0,1
1243-0-4-48,1021-0-99-99,1243,1021,95.0,1
1382-0-4-48,1021-0-99-99,1382,1021,127.0,1
1571-0-4-48,1021-0-99-99,1571,1021,109.0,1
1232-0-4-48,1022-0-99-99,1232,1022,118.0,1
1175-0-4-48,1023-0-99-99,1175,1023,71.0,1
1018-0-4-48,1034-0-99-99,1018,1034,33.0,1
1518-0-4-48,1034-0-99-99,1518,1034,119.0,1
1590-0-4-48,1034-0-99-99,1590,1034,129.0,1
1250-0-4-48,1035-0-99-99,1250,1035,73.0,1
1214-0-4-48,1036-0-99-99,1214,1036,101.0,1
1219-0-4-48,1036-0-99-99,1219,1036,96.0,1
1574-0-4-48,1036-0-99-99,1574,1036,157.0,1
1591-0-4-48,1036-0-99-99,1591,1036,126.0,1
1131-0-4-48,1037-0-99-99,1131,1037,128.0,1
1238-0-4-48,1037-0-99-99,1238,1037,113.0,1
1285-0-4-48,1037-0-99-99,1285,1037,107.0,1
1406-0-4-48,1037-0-99-99,1406,1037,110.0,1
1131-0-4-48,1038-0-99-99,1131,1038,127.0,1
1389-0-4-48,1038-0-99-99,1389,1038,107.0,1
1422-0-4-48,1038-0-99-99,1422,1038,97.0,1
1559-0-4-48,1038-0-99-99,1559,1038,109.0,1
1076-0-4-48,1042-0-99-99,1076,1042,45.0,1
1245-0-4-48,1042-0-99-99,1245,1042,100.0,1
1090-0-4-48,1043-0-99-99,1090,1043,56.0,1
1427-0-4-48,1043-0-99-99,1427,1043,103.0,1
1250-0-4-48,1045-0-99-99,1250,1045,73.0,1
1214-0-4-48,1046-0-99-99,1214,1046,96.0,1
1411-0-4-48,1046-0-99-99,1411,1046,127.0,1
1313-0-4-48,1047-0-99-99,1313,1047,56.0,1
1520-0-4-48,1047-0-99-99,1520,1047,107.0,1
1574-0-4-48,1049-0-99-99,1574,1049,154.0,1
1252-0-4-48,1050-0-99-99,1252,1050,56.0,1
1522-0-4-48,1050-0-99-99,1522,1050,106.0,1
1280-0-4-48,1051-0-99-99,1280,1051,40.0,1
1328-0-4-48,1051-0-99-99,1328,1051,68.0,1
1266-0-4-48,1052-0-99-99,1266,1052,34.0,1
1447-0-4-48,1052-0-99-99,1447,1052,108.0,1
1464-0-4-48,1052-0-99-99,1464,1052,108.0,1
1495-0-4-48,1052-0-99-99,1495,1052,111.0,1
1538-0-4-48,1052-0-99-99,1538,1052,64.0,1
1591-0-4-48,1055-0-99-99,1591,1055,128.0,1
1425-0-4-48,1056-0-99-99,1425,1056,107.0,1
1444-0-4-48,1056-0-99-99,1444,1056,104.0,1
