o_node,d_node,origin,destination,travel_time,iteration,edge_type
1458-0-4-58,1313-0-99-99,1458,1313,131.0,0,Inner Subway Station
1124-0-4-58,1317-0-99-99,1124,1317,33.0,0,Inner Subway Station
1326-0-4-58,1317-0-99-99,1326,1317,63.0,0,Inner Subway Station
1133-0-4-58,1331-0-99-99,1133,1331,104.0,0,Inner Subway Station
1177-0-4-58,1355-0-99-99,1177,1355,106.0,0,Inner Subway Station
1110-0-4-58,1356-0-99-99,1110,1356,99.0,0,Inner Subway Station
1039-0-4-58,1357-0-99-99,1039,1357,103.0,0,Inner Subway Station
1385-0-4-58,1358-0-99-99,1385,1358,100.0,0,Inner Subway Station
1021-0-4-58,1361-0-99-99,1021,1361,109.0,0,Inner Subway Station
1062-0-4-58,1371-0-99-99,1062,1371,116.0,0,Inner Subway Station
1173-0-4-58,1378-0-99-99,1173,1378,128.0,0,Inner Subway Station
1232-0-4-58,1378-0-99-99,1232,1378,152.0,0,Inner Subway Station
1342-0-4-58,1378-0-99-99,1342,1378,107.0,0,Inner Subway Station
1351-0-4-58,1379-0-99-99,1351,1379,101.0,0,Inner Subway Station
1021-0-4-58,1386-0-99-99,1021,1386,117.0,0,Inner Subway Station
1249-0-4-58,1388-0-99-99,1249,1388,165.0,0,Inner Subway Station
1396-0-4-58,1388-0-99-99,1396,1388,89.0,0,Inner Subway Station
1538-0-4-58,1388-0-99-99,1538,1388,165.0,0,Inner Subway Station
1445-0-4-58,1391-0-99-99,1445,1391,68.0,0,Inner Subway Station
1265-0-4-58,1393-0-99-99,1265,1393,122.0,0,Inner Subway Station
1531-0-4-58,1393-0-99-99,1531,1393,142.0,0,Inner Subway Station
1173-0-4-58,1394-0-99-99,1173,1394,90.0,0,Inner Subway Station
1401-0-4-58,1395-0-99-99,1401,1395,38.0,0,Inner Subway Station
1140-0-4-58,1402-0-99-99,1140,1402,93.0,0,Inner Subway Station
1173-0-4-58,1402-0-99-99,1173,1402,105.0,0,Inner Subway Station
1400-0-4-58,1402-0-99-99,1400,1402,55.0,0,Inner Subway Station
1415-0-4-58,1402-0-99-99,1415,1402,81.0,0,Inner Subway Station
1423-0-4-58,1411-0-99-99,1423,1411,87.0,0,Inner Subway Station
1407-0-4-58,1415-0-99-99,1407,1415,48.0,0,Inner Subway Station
1606-0-4-58,1415-0-99-99,1606,1415,136.0,0,Inner Subway Station
1381-0-4-58,1421-0-99-99,1381,1421,115.0,0,Inner Subway Station
1041-0-4-58,1423-0-99-99,1041,1423,80.0,0,Inner Subway Station
1062-0-4-58,1442-0-99-99,1062,1442,94.0,0,Inner Subway Station
1482-0-4-58,1472-0-99-99,1482,1472,89.0,0,Inner Subway Station
1538-0-4-58,1476-0-99-99,1538,1476,111.0,0,Inner Subway Station
1583-0-4-58,1481-0-99-99,1583,1481,84.0,0,Inner Subway Station
1524-0-4-58,1486-0-99-99,1524,1486,79.0,0,Inner Subway Station
1531-0-4-58,1490-0-99-99,1531,1490,79.0,0,Inner Subway Station
1366-0-4-58,1492-0-99-99,1366,1492,128.0,0,Inner Subway Station
1579-0-4-58,1492-0-99-99,1579,1492,38.0,0,Inner Subway Station
1513-0-4-58,1503-0-99-99,1513,1503,51.0,0,Inner Subway Station
1021-0-4-58,1519-0-99-99,1021,1519,90.0,0,Inner Subway Station
1495-0-4-58,1529-0-99-99,1495,1529,84.0,0,Inner Subway Station
1428-0-4-58,1530-0-99-99,1428,1530,110.0,0,Inner Subway Station
1443-0-4-58,1530-0-99-99,1443,1530,106.0,0,Inner Subway Station
1577-0-4-58,1536-0-99-99,1577,1536,125.0,0,Inner Subway Station
1569-0-4-58,1543-0-99-99,1569,1543,92.0,0,Inner Subway Station
1182-0-4-58,1544-0-99-99,1182,1544,118.0,0,Inner Subway Station
1021-0-4-58,1545-0-99-99,1021,1545,87.0,0,Inner Subway Station
1515-0-4-58,1561-0-99-99,1515,1561,42.0,0,Inner Subway Station
1245-0-4-58,1582-0-99-99,1245,1582,105.0,0,Inner Subway Station
1154-0-4-58,1599-0-99-99,1154,1599,132.0,0,Inner Subway Station
1562-0-4-58,1607-0-99-99,1562,1607,76.0,0,Inner Subway Station
1436-0-4-58,1081-0-99-99,1436,1081,108.0,0,Inner Subway Station
1506-0-4-58,1002-0-99-99,1506,1002,99.0,1,Inner Subway Station
1126-0-4-58,1006-0-99-99,1126,1006,81.0,1,Inner Subway Station
1243-0-4-58,1021-0-99-99,1243,1021,99.0,1,Inner Subway Station
1382-0-4-58,1021-0-99-99,1382,1021,136.0,1,Inner Subway Station
1571-0-4-58,1021-0-99-99,1571,1021,132.0,1,Inner Subway Station
1232-0-4-58,1022-0-99-99,1232,1022,112.0,1,Inner Subway Station
1175-0-4-58,1023-0-99-99,1175,1023,88.0,1,Inner Subway Station
1018-0-4-58,1034-0-99-99,1018,1034,33.0,1,Inner Subway Station
1518-0-4-58,1034-0-99-99,1518,1034,109.0,1,Inner Subway Station
1590-0-4-58,1034-0-99-99,1590,1034,130.0,1,Inner Subway Station
1250-0-4-58,1035-0-99-99,1250,1035,63.0,1,Inner Subway Station
1214-0-4-58,1036-0-99-99,1214,1036,105.0,1,Inner Subway Station
1219-0-4-58,1036-0-99-99,1219,1036,103.0,1,Inner Subway Station
1574-0-4-58,1036-0-99-99,1574,1036,145.0,1,Inner Subway Station
1591-0-4-58,1036-0-99-99,1591,1036,128.0,1,Inner Subway Station
1131-0-4-58,1037-0-99-99,1131,1037,118.0,1,Inner Subway Station
1238-0-4-58,1037-0-99-99,1238,1037,103.0,1,Inner Subway Station
1285-0-4-58,1037-0-99-99,1285,1037,97.0,1,Inner Subway Station
