INT_ID,string
13465734,Rathburn Rd / Edenwood Dr
13463020,Kipling Ave / Byland Rd
13462655,Kipling Ave / Eglinton Ave W
13462349,Kipling Ave / Widdicombe Hill Blvd / Widdicombe Hill
13466944,Rathburn Rd / Renforth Dr
13465631,Rathburn Rd / Lloyd Manor Rd
13468356,Bloor St W / Aukland Rd
13464700,Hartfield Rd / Anglesey Blvd
13463434,Islington Ave / Prince George Dr / Ridgevalley Cres
13462889,Islington Ave / Princess Margaret Blvd / Poplar Heights Dr
13466841,Forestone Rd / Rathburn Rd
13466647,Rathburn Rd / The West Mall / Rathburn E 427 C S Ramp
13466311,Wellesworth Dr / Torrington Dr
13465781,Wellesworth Dr / Faversham Cres
13466029,Dixfield Dr / Wellesworth Dr
13466281,Dixfield Dr / Wellesworth Dr
13468252,Kipling Ave / Bloor St W / Dundas St W
13460154,Farnboro Rd / Attwell Dr
13459809,Attwell Dr / Mclachlan Dr
13458741,Belfield Rd / Belfield E 27 S Ramp / 27 S Belfield W Ramp / Brockport Dr
13458634,Belfield Rd / 27 N Belfield E Ramp / Belfield W 27 N Ramp / City View Dr
13467244,The West Mall / Holiday Dr
13467813,Kipling Ave / Tyre Ave
13467571,Kipling Ave / Mattice Rd / Mattice Ave
13467982,Dundas St W / Dunbloor Rd
13462409,Eglinton Ave W / Bemersyde Dr / Wincott Dr
13465491,Kipling Ave / Rathburn Rd
13465333,Rathburn Rd / Remington Dr
13465221,Rathburn Rd / Pheasant Lane / Cedarland Dr
13466693,Capri Rd / The East Mall
14204003,Dundas St W / Michael Power Pl / Royalavon Cres / Michael Power Park Trl
13467586,Dundas St W / Mabelle Ave
13467261,Burnhamthorpe Rd / Dundas St W / Cordova Ave
13467434,Rathburn Rd / Ivybridge Dr
13467043,Burnhamthorpe Rd / Botfield Ave
13466915,Burnhamthorpe Rd / Kipling Ave
13467234,Kipling Ave / Goswell Rd
13466985,Burnhamthorpe Rd / Royalavon Cres
13466317,Rathburn Rd / The East Mall
13463605,Eglinton Ave W / The East Mall / 427 C N Eglinton Ramp
13466027,Kipling Ave / Bywood Dr
13466366,Kipling Ave / Wingrove Hill
13467015,Burnhamthorpe Rd / Holloway Rd / Burnhamthorpe Park Blvd
13467144,Burnhamthorpe Rd / Burnhamthorpe Cres
13462601,Willowridge Rd / Longbourne Dr
13466818,Islington Ave / Dundas St W
13466510,Islington Ave / Riverbank Dr / Chestnut Hills Cres
13465418,Eringate Dr / Wellesworth Dr
13458841,Dixon Rd / Havenridge Dr
13458710,Dixon Rd / Golfwood Hts
13470112,Magnificent Rd / Judson St
13469939,Evans Ave / Eastwick Rd
13470081,Islington Ave / Judson St
13469914,Islington Ave / Evans Ave
13470452,Islington Ave / Lake Shore Blvd W / Seventh St
13459898,Dixon Rd / 401 X E Dixon E Ramp / Dixon W 401 X E Ramp
13459757,Dixon Rd / Celestine Dr
13458383,Disco Rd / Attwell Dr
13455715,Walsh Ave / Weston N Walsh Ramp / Walsh Weston N Ramp
13470367,Islington Ave / Birmingham St
13470434,Lake Shore Blvd W / Fifth St
13470414,Lake Shore Blvd W / Third St
13470386,Lake Shore Blvd W / Dwight Ave
13458423,Belfield Rd / Iron St
13458599,Dixon Rd / Mcmanus Rd
13460207,Royal York Rd / Trehorne Dr
13459942,Weston Wood Rd / Royal York Rd
13459503,Royal York Rd / Yorkleigh Ave
13455435,Weston Rd / Reuben Ave / Wallasey Ave / Walsh Weston N Ramp
13470270,Islington Ave / New Toronto St
13455913,Rexdale Blvd / Queen'S Plate Dr
13456027,Rexdale Blvd / Precision Rd
13459156,Royal York Rd / Lawrence Ave W / The Westway
13458691,Royal York Rd / Royaleigh Ave
13458547,Royaleigh Ave / Roxaline St
13459024,Roxaline St / Lawrence Ave W
13458934,Westona St / Lawrence Ave W
13455908,Walsh Ave / Wilson Ave
13470302,Royal York Rd / Dartmouth Cres
13470241,Royal York Rd / Symons St
13470353,Lake Shore Blvd W / Royal York Rd
13456192,Rexdale Blvd / Tidemore Ave
13456327,Martin Grove Rd / Rexdale Blvd
13455866,Martin Grove Rd / Racine Rd
13455524,Martin Grove Rd / Jeffcoat Dr
13458216,Martin Grove Rd / Belfield Rd
13458507,Martin Grove Rd / 409 W Martin Grove Ramp / Martin Grove S 409 W Ramp
