INT_ID,int_lon,int_lat
13459689,-79.326574413,43.690587219
13445746,-79.298106451,43.781054406
13449013,-79.315245441,43.757869425
13451212,-79.304645575,43.743242517
13451412,-79.309793757,43.742144039
13455296,-79.349979797,43.717098739
13454752,-79.338873881,43.720500805
13463478,-79.33560892,43.669250838
13446075,-79.307905915,43.778731095
13442866,-79.277400939,43.80570624
13456414,-79.334394981,43.70999645
13446996,-79.321518102,43.771941442
13446551,-79.323017109,43.775244616
13464177,-79.352624092,43.665486616
13455899,-79.364802153,43.71356588
13446373,-79.317764148,43.776514782
13457237,-79.349877201,43.70500665
13449541,-79.352035229,43.754698664
13465231,-79.349852232,43.658878341
13464674,-79.402109266,43.663052328
13442643,-79.26650628,43.808026677
13444019,-79.293451361,43.795150796
13459249,-79.350291418,43.693241761
13441635,-79.267962521,43.832704306
13443562,-79.305981545,43.798998223
13465795,-79.364462546,43.655615728
13443046,-79.286293645,43.803751827
13459931,-79.348815657,43.689432655
13446581,-79.331236717,43.77509959
13466241,-79.363245746,43.652729989
13448536,-79.347229808,43.761751872
13464403,-79.367981848,43.664285907
13460600,-79.347438893,43.685776098
13466482,-79.368261941,43.651277649
13441649,-79.275195993,43.831045362
13442867,-79.320975009,43.806349236
13443837,-79.315766111,43.796772994
13462285,-79.443081164,43.677961457
13453281,-79.458918743,43.732092618
13442033,-79.304753198,43.818447428
13441903,-79.316925221,43.821392698
13463030,-79.414391202,43.673150259
13449822,-79.359970231,43.752954496
13441919,-79.294934266,43.820707597
13456348,-79.377158372,43.711036573
13444158,-79.325969368,43.794331429
13444318,-79.331412424,43.793106458
13463585,-79.429019476,43.670032069
13441740,-79.297332525,43.825950474
13467252,-79.404010501,43.647188293
13461950,-79.43568954,43.679592021
13467722,-79.402705536,43.643926314
13461343,-79.420223587,43.682772604
13442003,-79.32443664,43.81963118
13466982,-79.396381621,43.648765518
13462422,-79.415786758,43.676730247
13460587,-79.438693767,43.687134
13450611,-79.384155779,43.748059355
13442279,-79.34855579,43.813969777
13468374,-79.427374816,43.638960482
13470353,-79.493165851,43.603651612
13465784,-79.358415852,43.655582152
13442179,-79.341317897,43.815650752
13468053,-79.415018881,43.641437148
13444423,-79.354736954,43.792660486
13442528,-79.36077696,43.811184151
13465757,-79.407722935,43.656481958
13457359,-79.406132971,43.705105105
13463893,-79.483564058,43.668993604
13444761,-79.368067064,43.790012097
13462582,-79.450601076,43.676304204
13457449,-79.408516109,43.704598461
13456819,-79.390197174,43.708407749
13466425,-79.432562175,43.652569192
13467715,-79.418861992,43.644204298
13467983,-79.428644194,43.642208421
13466818,-79.526398228,43.651361511
13460901,-79.446117227,43.685566389
13464451,-79.491186227,43.665734711
13463080,-79.463050228,43.673536
13469508,-79.502632289,43.626336353
13456902,-79.392819367,43.707861153
13442682,-79.359012383,43.808948656
13461687,-79.476751401,43.681609012
13445452,-79.392147426,43.785005601
13468436,-79.446219418,43.63871533
13463232,-79.467623432,43.672534507
13460576,-79.401495486,43.686640698
13451068,-79.396440498,43.745453387
13454662,-79.415609513,43.722255597
