new_trip_id,trip_id
642,31706945
643,31706946
644,31706947
645,31706948
646,31706949
647,31706950
648,31706951
649,31706952
650,31706953
651,31706954
652,31706955
653,31706956
654,31706907
655,31706908
656,31706909
657,31706910
658,31706911
659,31706912
660,31706913
661,31706914
662,31706915
663,31706916
664,31706917
665,31706918
666,31706919
667,31706920
668,31706921
669,31706922
670,31706923
671,31706924
672,31706925
673,31706926
674,31706927
675,31706928
676,31706929
677,31706930
678,31706931
679,31706932
680,31706933
681,31706934
682,31706935
683,31706936
684,31706937
685,31706938
686,31706939
687,31706940
688,31706903
689,31706904
690,31706905
691,31706726
692,31706633
693,31706634
694,31706635
695,31706636
696,31706637
697,31706638
698,31706639
699,31706640
700,31706641
701,31706642
702,31706643
703,31706644
704,31706957
705,31706958
706,31706959
707,31706960
708,31706961
709,31706962
710,31706963
711,31706964
712,31706965
713,31706966
714,31706967
715,31706968
716,31706969
717,31706970
718,31706971
719,31706972
720,31706973
721,31706974
722,31706975
723,31706976
724,31706977
725,31706978
726,31706979
727,31706980
728,31706981
729,31706982
730,31706983
731,31706984
732,31706985
733,31706986
734,31706987
735,31706988
736,31706989
737,31706990
738,31706991
739,31706992
740,31706993
741,31706994
742,31706995
743,31706996
744,31706997
745,31706998
746,31748867
747,31748870
748,31748868
749,31748869
750,31748872
751,31748873
752,31748875
753,31748876
754,31748878
755,31748880
756,31748882
757,31748883
758,31748884
759,31748885
760,31748886
761,31748887
762,31748888
763,31748889
764,31748890
765,31748891
766,31748892
767,31748893
768,31748894
769,31748895
770,31748896
771,31748897
772,31748898
773,31748899
774,31748900
775,31748901
776,31748902
777,31748903
778,31748904
779,31748905
780,31748906
781,31748907
782,31748908
783,31748909
784,31748910
785,31748911
786,31748912
787,31748913
788,31748914
789,31748915
790,31748916
791,31748917
792,31748918
793,31748921
794,31748919
795,31748920
796,31749015
797,31749016
798,31749017
799,31749018
800,31749028
801,31749019
802,31749020
803,31749021
804,31749022
805,31749023
806,31749024
807,31749029
808,31749025
809,31748928
810,31749034
811,31748929
812,31748930
813,31748931
814,31749035
815,31749030
816,31749036
817,31749037
818,31749162
819,31749038
820,31749039
821,31749040
822,31749041
823,31749163
824,31749042
825,31749043
826,31749044
827,31749045
828,31749046
829,31749047
830,31749048
831,31749049
832,31749050
833,31749051
834,31749052
835,31749053
836,31749054
837,31749055
838,31749056
839,31749057
840,31749058
841,31749059
842,31749060
