trip_headsign_x,trip_headsign_y,delta,direction_id_x,route_short_name,shape_id_x,dist_x,direction_id_y,shape_id_y,dist_y
EAST - 32 EGLINTON WEST TOWARDS EGLINTON STATION,WEST - 32D EGLINTON WEST TOWARDS JANE & EMMETT,884.07,0,32,601846,1483.705356,1,601857,599.6369893
SOUTH - 33 FOREST HILL TOWARDS ST CLAIR WEST STATION,NORTH - 33 FOREST HILL TOWARDS EGLINTON (ROSELAWN),416.22,0,33,601910,3249.775541,1,601912,3665.997092
EAST - 34 EGLINTON EAST TOWARDS KENNEDY STATION,WEST - 34 EGLINTON EAST TOWARDS EGLINTON STATION,312.48,0,34,601944,12021.91091,1,601947,12334.39522
EAST - 34 EGLINTON EAST TOWARDS KENNEDY STATION,WEST - 34 EGLINTON EAST TOWARDS EGLINTON STATION,312.48,0,34,601945,12021.91091,1,601947,12334.39522
SOUTH - 35B JANE TOWARDS PIONEER VILLAGE AND STEELES,NORTH - 35B JANE TOWARDS PIONEER VILLAGE AND STEELES,22.48,0,35,601963,1232.357273,1,601986,1209.875461
SOUTH - 35 JANE TOWARDS JANE STATION EXTRA FARE REQUIRED NORTH OF STEELES,NORTH - 35S JANE SHORT TURN,84.53,0,35,601965,4282.080502,1,601977,4366.609789
SOUTH - 35 JANE TOWARDS JANE STATION,NORTH - 35B JANE TOWARDS PIONEER VILLAGE AND STEELES,153.39,0,35,601958,14954.75604,1,601969,15108.14947
SOUTH - 35A JANE TOWARDS JANE STATION,NORTH - 35A JANE TOWARDS STEELES VIA HULLMAR,209.32,0,35,601957,15717.01547,1,601968,15926.33645
SOUTH - 35 JANE TOWARDS JANE STATION,NORTH - 35B JANE TOWARDS PIONEER VILLAGE AND STEELES,685.60,0,35,601959,14422.54991,1,601970,15108.14947
SOUTH - 35 JANE TOWARDS JANE STATION EXTRA FARE REQUIRED NORTH OF STEELES,NORTH - 35D JANE TOWARDS LANGSTAFF RD EXTRA FARE REQUIRED NORTH OF STEELES ,2213.24,0,35,601960,18598.27328,1,601985,16385.03481
EAST - 36 FINCH WEST TOWARDS FINCH STATION,WEST - 36S FINCH WEST SHORT TURN TOWARDS WESTON RD,40.69,0,36,602019,11063.31925,1,602033,11022.6258
EAST - 36 FINCH WEST TOWARDS FINCH STATION,WEST - 36A FINCH WEST TOWARDS HUMBERWOOD,127.12,0,36,602013,19697.69939,1,602021,19570.58418
EAST - 36 FINCH WEST TOWARDS FINCH STATION,WEST - 36A FINCH WEST TOWARDS HUMBERWOOD,127.12,0,36,602012,19697.69939,1,602021,19570.58418
EAST - 36 FINCH WEST TOWARDS FINCH STATION,WEST - 36F FINCH WEST TOWARDS WESTON RD AND MILVAN VIA FENMAR,421.76,0,36,602017,14091.81252,1,602028,13670.05726
EAST - 36 FINCH WEST TOWARDS FINCH STATION,WEST - 36F FINCH WEST TOWARDS WESTON RD AND MILVAN VIA FENMAR,421.76,0,36,602015,14091.81252,1,602028,13670.05726
EAST - 36 FINCH WEST TOWARDS FINCH STATION,WEST - 36D FINCH WEST TOWARDS WESTON RD AND MILVAN,683.59,0,36,602020,2951.06742,1,602035,2267.480332
SOUTH - 37 ISLINGTON TOWARDS ISLINGTON STATION,NORTH - 37A ISLINGTON TOWARDS WOODBINE AND HUMBERWOOD VIA REXDALE BLVD,83.37,0,37,602044,16566.27906,1,602049,16482.90717
SOUTH - 37 ISLINGTON TOWARDS ISLINGTON STATION,NORTH - 37B ISLINGTON TOWARDS STEELES,105.89,0,37,602045,14480.12415,1,602050,14374.23823
WEST - 38 HIGHLAND CREEK TOWARDS SCARBOROUGH CENTRE,EAST - 38A HIGHLAND CREEK TOWARDS ROUGE HILL GO STATION,16.50,0,38,602054,12458.98383,1,602057,12475.47903
EAST - 39C FINCH EAST TOWARDS VICTORIA PARK AND GORDON BAKER,WEST - 39 FINCH EAST TOWARDS FINCH STATION,43.73,0,39,602074,766.6353375,1,602080,810.3629571
EAST - 39A FINCH EAST TOWARDS NEILSON,WEST - 39 FINCH EAST TOWARDS FINCH STATION,58.83,0,39,602067,16559.45486,1,602075,16500.62053
EAST - 39A FINCH EAST TOWARDS NEILSON,WEST - 39 FINCH EAST TOWARDS FINCH STATION,214.31,0,39,602072,1024.669312,1,602080,810.3629571
EAST - 39B FINCH EAST TOWARDS OLD FINCH AND MORNINGVIEW,WEST - 39 FINCH EAST TOWARDS FINCH STATION,351.99,0,39,602068,18547.06434,1,602076,18899.05902
EAST - 39C FINCH EAST TOWARDS VICTORIA PARK AND GORDON BAKER,WEST - 39 FINCH EAST TOWARDS FINCH STATION,913.94,0,39,602069,9392.6251,1,602077,10306.56487
EAST - 39S FINCH EAST SHORT TURN TOWARDS MARKHAM RD,WEST - 39 FINCH EAST TOWARDS FINCH STATION,1730.90,0,39,602073,14769.71942,1,602075,16500.62053
EAST - 40 JUNCTION TOWARDS DUNDAS WEST STATION,WEST - 40 JUNCTION TOWARDS RUNNYMEDE,124.75,0,40,602100,3179.757066,1,602101,3055.008938
SOUTH - 41E KEELE EXPRESS TOWARDS KEELE STATION,NORTH - 41E KEELE EXPRESS TOWARDS YORK UNIVERSITY,74.52,0,41,602105,15345.0312,1,602111,15419.54871
SOUTH - 41 KEELE TOWARDS KEELE STATION,NORTH - 41E KEELE EXPRESS TOWARDS YORK UNIVERSITY,583.89,0,41,602104,14835.6619,1,602111,15419.54871
SOUTH - 41 KEELE TOWARDS KEELE STATION,NORTH - 41E KEELE EXPRESS TOWARDS YORK UNIVERSITY,686.03,0,41,602103,16105.57989,1,602111,15419.54871
EAST - 42B CUMMER TOWARDS KENNEDY,WEST - 42 CUMMER TOWARDS FINCH STATION,157.21,0,42,602116,11605.01085,1,602120,11762.21808
EAST - 42 CUMMER TOWARDS VICTORIA PARK,WEST - 42 CUMMER TOWARDS FINCH STATION,256.24,0,42,602118,946.3825828,1,602124,1202.623112
EAST - 42C CUMMER TOWARDS VICTORIA PARK,WEST - 42 CUMMER TOWARDS FINCH STATION,270.54,0,42,602117,9039.459629,1,602122,9309.995022
EAST - 42A CUMMER TOWARDS MIDDLEFIELD ,WEST - 42 CUMMER TOWARDS FINCH STATION,1165.93,0,42,602115,16994.98953,1,602119,15829.05732
SOUTH - 43 KENNEDY TOWARDS KENNEDY STATION,NORTH - 43B KENNEDY TOWARDS SCARBOROUGH CENTRE,30.65,0,43,602127,7450.036745,1,602133,7419.382185
