id,route,stop_sequence_new,sequence,hr,min,INT_ID
160485674,334,3,3,4,3,13455899.0
160485674,334,4,4,4,3,13456085.0
160485674,334,5,5,4,4,13456221.0
160485674,334,6,6,4,4,13456348.0
160485674,334,7,7,4,5,13456432.0
160485674,334,8,8,4,5,13456522.0
160485674,334,9,9,4,6,13456681.0
160485674,334,10,11,4,7,13456902.0
160485674,334,11,12,4,8,13456978.0
160485674,334,12,13,4,8,111.0
160485686,300,1,2,4,1,223.0
160485686,300,2,4,4,3,13461356.0
160485686,300,3,5,4,4,221.0
160485686,300,4,6,4,4,13461657.0
160485686,300,5,7,4,5,220.0
160485686,300,6,10,4,7,218.0
160485686,300,7,11,4,8,217.0
160485686,300,8,12,4,9,13463124.0
160485686,300,9,13,4,10,216.0
160485686,300,10,16,4,12,106.0
160485686,300,11,17,4,13,215.0
160485686,300,12,18,4,14,13463747.0
160485686,300,13,19,4,15,156.0
160485686,300,14,21,4,16,214.0
160485686,300,15,23,4,17,213.0
160485686,300,16,25,4,19,212.0
160485686,300,17,27,4,20,211.0
160485686,300,18,28,4,21,13465043.0
160485686,300,19,30,4,22,210.0
160485686,300,20,32,4,24,209.0
160485686,300,21,34,4,25,13465705.0
160485686,300,22,35,4,26,208.0
160485686,300,23,36,4,27,207.0
160485686,300,24,37,4,28,206.0
160485686,300,25,40,4,29,205.0
160485686,300,26,42,4,31,203.0
160485704,329,1,1,4,0,13455007.0
160485704,329,2,2,4,0,13454825.0
160485704,329,3,3,4,1,13454394.0
160485704,329,4,4,4,1,13454098.0
160485704,329,5,5,4,1,14203394.0
160485704,329,6,6,4,2,13453281.0
160485704,329,7,8,4,4,164.0
160485704,329,8,9,4,7,165.0
160485704,329,9,10,4,8,13449330.0
160485704,329,10,11,4,8,13448866.0
160485704,329,11,12,4,9,13448551.0
160485704,329,12,14,4,10,13447779.0
160485704,329,13,15,4,11,13446837.0
160485704,329,14,16,4,11,13446475.0
160485704,329,15,17,4,12,13446092.0
160485704,329,16,18,4,13,14673411.0
160485704,329,17,19,4,13,14673438.0
160485755,353,1,2,4,0,13441658.0
160485755,353,2,4,4,2,13441649.0
160485755,353,3,6,4,3,13441635.0
160485755,353,4,11,4,6,13441620.0
160485755,353,5,12,4,7,13441616.0
160485755,353,6,14,4,9,14630472.0
160485755,353,7,15,4,9,14630490.0
160485755,353,8,16,4,10,14630494.0
160485755,353,9,17,4,10,14634930.0
160485755,353,10,18,4,11,14642975.0
160485755,353,11,19,4,12,14249113.0
160485755,353,12,20,4,12,14252748.0
160485755,353,13,21,4,13,14252582.0
160485755,353,14,22,4,14,14252616.0
160485755,353,15,23,4,14,14249609.0
160485755,353,16,24,4,15,14606950.0
160485755,353,17,25,4,16,14184392.0
160485755,353,18,26,4,16,13442074.0
160485755,353,19,27,4,17,13442126.0
160485755,353,20,28,4,18,13442174.0
160485755,353,21,30,4,18,13442002.0
160485755,353,22,31,4,19,13441971.0
160485761,353,1,1,4,0,13444138.0
160485761,353,2,3,4,1,13444337.0
160485761,353,3,4,4,2,13444464.0
160485761,353,4,5,4,4,13444609.0
160485761,353,5,6,4,5,13444656.0
160485761,353,6,7,4,5,13444817.0
160485761,353,7,8,4,6,13444956.0
160485761,353,8,9,4,7,13445128.0
160485761,353,9,10,4,7,13445306.0
160485761,353,10,11,4,8,14673438.0
160485761,353,11,13,4,10,13445620.0
160485761,353,12,15,4,11,13445817.0
160485761,353,13,16,4,11,13445906.0
160485761,353,14,17,4,11,13446042.0
160485761,353,15,18,4,13,13446357.0
160485761,353,16,19,4,14,169.0
160485761,353,17,20,4,17,13446589.0
160485761,353,18,21,4,17,14064208.0
160485762,352,1,1,4,1,112.0
160485762,352,2,4,4,3,13454100.0
160485762,352,3,6,4,4,13454004.0
160485762,352,4,7,4,4,13453954.0
160485762,352,5,8,4,4,13453863.0
160485762,352,6,9,4,4,13453765.0
160485762,352,7,11,4,6,13453881.0
160485762,352,8,12,4,6,13454307.0
160485762,352,9,14,4,7,30034152.0
160485763,337,1,1,4,0,13449294.0
160485777,336,1,1,4,2,13446218.0
160485777,336,2,2,4,2,13446359.0
160485777,336,3,3,4,2,13446513.0
160485777,336,4,4,4,3,13446625.0
160485777,336,5,6,4,4,13446864.0
160485777,336,6,7,4,4,13446970.0
160485777,336,7,9,4,5,13447120.0
160485777,336,8,10,4,6,13447210.0
160485777,336,9,13,4,7,13447550.0
160485777,336,10,14,4,7,13447779.0
160485777,336,11,15,4,9,13447951.0
160485777,336,12,17,4,10,13448130.0
160485777,336,13,19,4,11,13448492.0
160485777,336,14,20,4,11,167.0
160485777,336,15,21,4,12,13448693.0
160485777,336,16,22,4,13,13448931.0
160485777,336,17,24,4,15,13449201.0
160485777,336,18,25,4,16,13449253.0
160485777,336,19,26,4,16,13449373.0
160485777,336,20,27,4,17,13449500.0
160485777,336,21,28,4,18,13449584.0
160485777,336,22,29,4,19,13449708.0
160485777,336,23,30,4,21,13450142.0
160485777,336,24,32,4,22,13450342.0
160485777,336,25,33,4,22,13450552.0
160485777,336,26,34,4,23,13450665.0
160485777,336,27,35,4,24,13450852.0
160485777,336,28,36,4,25,13451044.0
160485777,336,29,37,4,25,13451124.0
160485777,336,30,38,4,26,13451305.0
160485777,336,31,40,4,29,13451819.0
160485777,336,32,42,4,30,13452171.0
160485777,336,33,43,4,30,13452527.0
160485777,336,34,44,4,31,13452853.0
160485777,336,35,46,4,33,13453287.0
160485777,336,36,47,4,33,13453619.0
160485777,336,37,48,4,34,13453815.0
160485777,336,38,49,4,35,13453882.0
160485778,320,1,1,4,0,13445250.0
160485778,320,2,2,4,1,13444838.0
160485778,320,3,3,4,1,13444488.0
160485778,320,4,4,4,4,13443782.0
160485778,320,5,5,4,6,13443870.0
160485799,300,1,1,4,9,13459088.0
160485799,300,2,3,4,11,13458963.0
160485799,300,3,4,4,13,13459445.0
160485799,300,4,5,4,14,13459659.0
160485799,300,5,6,4,15,13459820.0
160485799,300,6,8,4,16,225.0
160485799,300,7,11,4,18,224.0
160485799,300,8,14,4,20,223.0
160485799,300,9,15,4,22,13461356.0
160485799,300,10,17,4,24,220.0
160485799,300,11,19,4,26,218.0
160485799,300,12,20,4,28,217.0
160485799,300,13,21,4,28,13463124.0
160485799,300,14,22,4,29,216.0
160485799,300,15,25,4,32,106.0
160485799,300,16,26,4,33,215.0
160485799,300,17,27,4,34,13463747.0
160485799,300,18,28,4,34,156.0
160485833,302,1,1,4,0,13454273.0
160485833,302,2,3,4,1,13454486.0
160485833,302,3,4,4,1,13454867.0
160485833,302,4,6,4,2,13455525.0
160485833,302,5,7,4,3,13456025.0
160485833,302,6,8,4,3,13456405.0
160485833,302,7,9,4,4,13456826.0
160485833,302,8,10,4,4,13457171.0
160485833,302,9,11,4,5,13458214.0
160485833,302,10,12,4,6,13458388.0
160485833,302,11,13,4,6,13459028.0
160485833,302,12,14,4,7,13459344.0
160485833,302,13,15,4,7,13459596.0
160485833,302,14,16,4,8,13459819.0
160485833,302,15,17,4,8,13460017.0
160485833,302,16,18,4,9,13460471.0
160485833,302,17,19,4,10,13460832.0
160485833,302,18,20,4,10,13461056.0
160485833,302,19,21,4,10,13461226.0
160485833,302,20,22,4,11,13461342.0
160485836,354,1,1,4,0,13449608.0
160485836,354,2,2,4,1,13449737.0
160485836,354,3,3,4,2,13449830.0
160485836,354,4,4,4,3,13450163.0
160485836,354,5,6,4,4,13450391.0
160485836,354,6,7,4,5,13450586.0
160485836,354,7,8,4,6,13450818.0
160485836,354,8,9,4,7,13450935.0
160485836,354,9,10,4,7,13451090.0
160485836,354,10,11,4,8,13451311.0
160485836,354,11,12,4,8,13451412.0
160485836,354,12,13,4,9,13451515.0
