gta06,INT_ID,duration
15,13465671,1666
15,13466668,287
15,13466312,1293
15,13466300,701
15,13466110,1207
15,13466801,454
15,13465795,628
15,13464667,1266
15,13464720,1348
15,13467485,777
15,13466117,470
15,20235156,1088
15,13464269,1610
15,13466241,388
15,102,1635
15,13466844,534
15,30029405,212
15,13464912,1544
15,13466636,1634
15,13465673,690
15,13464520,1557
15,13467011,779
15,13464177,1719
15,13466633,612
15,13465313,965
15,13466440,943
15,13464948,1593
15,13465715,1091
15,13467444,796
15,13466150,872
15,13465058,1038
15,13467437,1001
15,13465109,1318
15,13464658,1447
15,13466240,254
16,13463777,1698
16,30036276,1405
16,13464879,658
16,102,1563
16,13465784,80
16,13464398,1161
16,13466729,1092
16,13465715,1010
16,13464662,1424
16,13465194,1658
16,13466801,798
16,13465569,1423
16,13467160,1284
16,13465673,349
16,13465979,882
16,13464269,1181
16,13465671,1581
16,13466962,1043
16,13464586,770
16,13464658,1015
16,13466475,510
16,13468233,1698
16,13465567,675
16,30029405,582
16,13467854,1674
16,13464709,1557
16,13465058,700
16,13466630,927
16,13464607,1643
16,13465276,1504
16,13467444,1059
16,13464771,1468
16,13464614,1752
16,13466977,776
16,13466300,707
16,13465313,533
16,13464720,916
16,13466633,763
16,13463801,1491
16,13466321,1082
16,13466240,316
16,13466454,445
16,13466199,1293
16,13466440,950
16,13466488,1022
16,13466245,1144
16,13466914,1138
16,151,1779
16,13464177,1287
16,13464948,1161
16,13465366,1208
16,13467437,1354
16,13467011,1114
16,13466636,1629
16,13464004,1525
16,13466560,505
16,13466844,878
16,13467923,1787
16,13467665,1397
16,101,1364
16,13465959,495
16,13464912,1464
16,14243510,213
16,13464154,1492
16,20235156,1015
16,13467485,1147
16,13466241,352
16,13465795,550
16,13466117,432
16,13463447,1666
16,13464403,1352
16,13466668,611
16,13466312,1254
16,13465179,895
16,13466516,1183
16,13464965,543
16,13465894,729
16,13464667,928
16,13467311,1122
16,13465975,115
16,13464785,1138
16,13466520,1799
16,13465231,685
16,13466427,446
16,13465109,886
16,13466150,833
16,13464027,1690
16,13466110,1129
16,13467239,1417
16,13466404,548
16,100,1746
16,13467163,1558
16,13466482,689
16,13464520,1490
16,13463892,1703
16,13466341,787
16,13465571,192
16,13465269,1065
16,13465017,1036
16,13464855,1317
16,13465478,307
16,13466690,1632
16,13467752,1738
16,13466418,1678
16,13466878,1432
16,13467182,905
16,13467736,1278
16,14036494,723
16,13467269,1223
16,13467067,807
16,13464490,882
16,13464254,1572
17,13463777,1284
17,13464490,624
17,13465058,282
17,13466668,1129
17,13464719,1419
17,13466801,1316
17,13466321,1310
17,13466404,1057
17,13466300,1045
17,13465179,481
17,13467485,1673
17,13464667,510
17,13464879,394
17,13467067,1333
17,13466440,1283
17,13465894,787
17,13466110,1189
17,13466117,778
17,13465017,1298
17,13465671,1257
17,13464662,1662
17,13465959,710
17,13465478,513
17,13466475,1028
17,13466250,1705
17,13466560,1001
17,13467736,1720
17,13466245,1302
17,13466633,1282
17,13464520,1076
17,13464027,1588
17,13464855,1579
17,13466914,1657
17,13466427,972
17,14036494,1242
17,13463693,1733
17,13466418,1738
17,13464586,471
17,13464785,724
