INT_ID,int_lon,int_lat,stop_id,stop_lon,stop_lat,dist
13466844,-79.367301409,43.649046619,2369.0,-79.367146,43.649116,17.33924675692718
13466862,-79.435602668,43.649889921,2176.0,-79.435731,43.649845,14.299242217439664
13466862,-79.435602668,43.649889921,2098.0,-79.4355,43.649937,11.456451048500277
13466878,-79.345037748,43.648533821,5146.0,-79.345129,43.648372,10.678266779357614
13466878,-79.345037748,43.648533821,1256.0,-79.34558,43.648376,60.38299040238695
13466880,-79.433689738,43.649772814,1385.0,-79.433862,43.649725,19.179481719221194
13466880,-79.433689738,43.649772814,7186.0,-79.433523,43.649808,18.55432171119594
13466894,-79.431453748,43.649651012,6422.0,-79.431281,43.649679,19.217206857204843
13466894,-79.431453748,43.649651012,4966.0,-79.431578,43.649815,14.21523499815694
13466894,-79.431453748,43.649651012,1063.0,-79.431565,43.649587,12.439368632004918
13466894,-79.431453748,43.649651012,1801.0,-79.431276,43.649427,20.285857627050934
13466900,-79.429829017,43.649584557,7289.0,-79.430007,43.649536,19.815601798755505
13466900,-79.429829017,43.649584557,2342.0,-79.429626,43.649633,22.596107426728953
13466910,-79.426795521,43.649501561,2953.0,-79.42655,43.649541,27.31258407929047
13466910,-79.426795521,43.649501561,9568.0,-79.426872,43.649445,8.582034077689801
13466914,-79.373306875,43.648677546,15047.0,-79.373633,43.648356,36.85801286922496
13466914,-79.373306875,43.648677546,2299.0,-79.373988,43.648705,75.73984107281875
13466915,-79.539395411,43.650977958,3438.0,-79.539495,43.650879,11.252574152892393
13466915,-79.539395411,43.650977958,9744.0,-79.539532,43.651131,15.499101977134837
13466915,-79.539395411,43.650977958,4747.0,-79.539611,43.651044,24.009483971092283
13466915,-79.539395411,43.650977958,13409.0,-79.53938,43.650972,1.7178436681091553
13466915,-79.539395411,43.650977958,10322.0,-79.539101,43.650774,32.99499855725389
13466923,-79.42475152,43.649437887,2426.0,-79.424628,43.649488,13.772837174854029
13466923,-79.42475152,43.649437887,1416.0,-79.42482,43.64939,7.677090979393443
13466940,-79.420782156,43.649334078,3702.0,-79.420952,43.649281,18.91687648898638
13466940,-79.420782156,43.649334078,7989.0,-79.420841,43.64945,6.957974916792533
13466940,-79.420782156,43.649334078,9427.0,-79.420489,43.64943,32.656272092829724
13466940,-79.420782156,43.649334078,2155.0,-79.420825,43.649706,8.963558694412496
13466944,-79.579500785,43.651408818,9929.0,-79.579905,43.651401,44.94699436986285
13466944,-79.579500785,43.651408818,10186.0,-79.579697,43.651226,22.12578081093973
13466960,-79.380278786,43.648650656,15280.0,-79.380343,43.648706,7.229787011204145
13466960,-79.380278786,43.648650656,9981.0,-79.380086,43.648738,21.511448249627374
13466960,-79.380278786,43.648650656,7769.0,-79.380493,43.648551,23.906922923758604
13466960,-79.380278786,43.648650656,4979.0,-79.380155,43.648629,13.771546321258613
13466962,-79.369766131,43.648489384,1955.0,-79.369496,43.648596,30.116746784208456
13466977,-79.354799197,43.648191062,2970.0,-79.354759,43.64795,6.67057440310851
13466977,-79.354799197,43.648191062,3306.0,-79.354602,43.648083,22.03939875712634
13466982,-79.396381621,43.648765518,10294.0,-79.396702,43.648616,35.75568773682852
13466982,-79.396381621,43.648765518,14974.0,-79.395543,43.647978,94.63262235111223
13466982,-79.396381621,43.648765518,1653.0,-79.396194,43.648864,20.959624508886748
13466982,-79.396381621,43.648765518,7582.0,-79.396469,43.649162,12.657652832794778
13466982,-79.396381621,43.648765518,9203.0,-79.396352,43.648319,9.711959276020764
13466985,-79.536130243,43.650619157,9932.0,-79.536315,43.650603,20.546660314764956
13466985,-79.536130243,43.650619157,9908.0,-79.536191,43.650691,6.909910597695623
13466991,-79.404649607,43.648831394,9662.0,-79.404819,43.649111,19.68407304622004
13466991,-79.404649607,43.648831394,15126.0,-79.404494,43.648801,17.313888572487368
13466991,-79.404649607,43.648831394,4029.0,,,
13466992,-79.512658105,43.650267506,7389.0,-79.512676,43.650219,2.2188413944154535
13466999,-79.499214029,43.650065077,3669.0,-79.499463,43.649921,27.83788754604244
13466999,-79.499214029,43.650065077,3819.0,-79.498857,43.650161,39.74743275077639
13467011,-79.370932182,43.648225519,8130.0,-79.372043,43.647897,123.70111808224951
13467011,-79.370932182,43.648225519,358.0,-79.37048,43.648271,50.28906624958813
13467011,-79.370932182,43.648225519,13382.0,-79.370919,43.648218,1.4738636765224167
13467011,-79.370932182,43.648225519,7698.0,-79.371797,43.647894,96.40357161252389
13467011,-79.370932182,43.648225519,4545.0,-79.370689,43.648319,27.108530024907594
13467011,-79.370932182,43.648225519,1804.0,-79.37077,43.648093,18.23751074371292
13467015,-79.53424808,43.650406822,6924.0,-79.533968,43.650448,31.154622549341973
13467015,-79.53424808,43.650406822,6047.0,-79.534422,43.650385,19.344070528442963
13467024,-79.581229626,43.650964795,2355.0,-79.581586,43.650612,40.25702987913559
13467024,-79.581229626,43.650964795,2260.0,-79.581764,43.650645,59.76670512687829
13467043,-79.542182661,43.650378297,10064.0,-79.542643,43.650353,51.189978252269015
13467043,-79.542182661,43.650378297,2002.0,-79.541787,43.650386,43.99583135049364
13467067,-79.361043064,43.647738975,15340.0,-79.361591,43.647203,61.91327313553885
13467067,-79.361043064,43.647738975,15341.0,-79.361159,43.647553,13.444956975097034
13467084,-79.450027955,43.648832542,8244.0,-79.449886,43.648596,16.50298815723188
13467084,-79.450027955,43.648832542,14728.0,-79.45013,43.648874,11.378250731139225
13467106,-79.390293463,43.647856545,1148.0,-79.389614,43.647942,75.57319750503842
13467129,-79.457804337,43.648628988,8361.0,-79.457875,43.648735,8.147996204770754
13467129,-79.457804337,43.648628988,6811.0,-79.45765,43.648593,17.177125717208465
13467129,-79.457804337,43.648628988,8673.0,-79.457419,43.649054,43.71132821738411
13467129,-79.457804337,43.648628988,4538.0,-79.457437,43.649151,42.20412060341217
13467131,-79.503205678,43.649204642,4730.0,-79.503052,43.649283,17.161805183168457
13467131,-79.503205678,43.649204642,7403.0,-79.502555,43.649231,72.3541627458307
13467143,-79.475398365,43.648760298,7715.0,-79.475191,43.648655,23.156940125581052
13467143,-79.475398365,43.648760298,6501.0,-79.475407,43.648875,2.519779121732954
13467144,-79.53093011,43.649483827,9440.0,-79.530674,43.649465,28.480712471269985
13467144,-79.53093011,43.649483827,3268.0,-79.531559,43.649462,69.93086451031552
13467160,-79.37331257,43.647257268,15337.0,-79.37348,43.647498,19.26068569342284
13467163,-79.379729142,43.647334765,5077.0,-79.379535,43.647239,21.67665973609551
13467170,-79.582736349,43.650012334,7016.0,-79.583465,43.649623,81.39964148686634
13467170,-79.582736349,43.650012334,6711.0,-79.582799,43.64985,7.693150441216917
13467182,-79.353735404,43.646882064,4191.0,-79.353474,43.646745,29.202898833753846
13467182,-79.353735404,43.646882064,6706.0,-79.353523,43.646505,24.856059224294114
13467197,-79.395829745,43.647397808,8346.0,-79.395835,43.647616,4.5028149176524215
13467204,-79.392859048,43.647320776,691.0,-79.392327,43.647356,59.16551315538155
13467204,-79.392859048,43.647320776,13665.0,-79.392841,43.647316,2.009228291212729
13467231,-79.505453568,43.648691385,14402.0,-79.505647,43.648525,21.771064334197845
13467231,-79.505453568,43.648691385,1848.0,-79.506027,43.648628,63.77573833732372
13467231,-79.505453568,43.648691385,6915.0,-79.505267,43.648012,24.89394093954966
13467231,-79.505453568,43.648691385,3205.0,-79.505295,43.648493,18.083996275984212
13467234,-79.538538342,43.649095318,7547.0,-79.538337,43.649044,22.412203024361208
13467234,-79.538538342,43.649095318,6395.0,-79.538669,43.649133,14.548433189009565
13467238,-79.547376553,43.649177567,3770.0,-79.547174,43.649299,22.655728830323866
13467238,-79.547376553,43.649177567,2356.0,-79.546295,43.649326,120.30064848363888
13467239,-79.376974315,43.646884793,15336.0,-79.376199,43.647177,86.41905684607157
13467239,-79.376974315,43.646884793,6897.0,-79.377161,43.646785,20.85899783462903
13467244,-79.568707964,43.649406612,14813.0,-79.568782,43.64948,8.363970926039038
13467244,-79.568707964,43.649406612,2644.0,-79.56849,43.649204,24.577398558219624
13467252,-79.404010501,43.647188293,5399.0,-79.40392,43.647036,10.534032362460518
13467252,-79.404010501,43.647188293,1068.0,-79.404124,43.647378,13.20316451528141
13467261,-79.528749185,43.648770795,9534.0,-79.528369,43.648541,42.5290120682053
13467261,-79.528749185,43.648770795,416.0,-79.528413,43.648718,37.397341020352634
13467261,-79.528749185,43.648770795,5851.0,-79.5291,43.649005,39.29497520797595
13467269,-79.350233026,43.646299378,1128.0,-79.350056,43.646431,19.869378966189903
13467307,-79.54898186,43.648806664,2631.0,-79.549465,43.648776,53.72635111360453
13467307,-79.54898186,43.648806664,1615.0,-79.549764,43.648518,87.16478531974586
13467311,-79.366060378,43.646305058,10479.0,-79.366015,43.645997,8.088066505302148
13467321,-79.389773518,43.646603484,2444.0,-79.389644,43.64666,14.448174049892005
13467321,-79.389773518,43.646603484,5775.0,-79.389874,43.646485,11.433411634373561
13467331,-79.525091022,43.64838231,10025.0,-79.525093,43.648758,7.598062020908905
13467331,-79.525091022,43.64838231,5854.0,-79.526041,43.647399,107.48684152262507
13467331,-79.525091022,43.64838231,657.0,-79.525021,43.648075,9.960876474131135
13467331,-79.525091022,43.64838231,8196.0,-79.52617,43.647668,120.84284864793479
13467331,-79.525091022,43.64838231,7277.0,-79.524319,43.647746,86.80354030160173
13467331,-79.525091022,43.64838231,9355.0,-79.525266,43.648264,19.603142196956533
13467337,-79.419839445,43.64692696,3353.0,-79.419913,43.647003,8.324990799136584
13467337,-79.419839445,43.64692696,2115.0,-79.419754,43.646835,9.684797223065248
13467359,-79.560165129,43.648644069,2865.0,-79.560287,43.648705,13.606952541477591
13467359,-79.560165129,43.648644069,2358.0,-79.560307,43.649189,19.22017435361196
13467368,-79.439153252,43.646970245,5811.0,-79.438924,43.646639,26.37042801161739
13467370,-79.430380871,43.646844053,7433.0,-79.430234,43.646692,16.623205147428937
13467370,-79.430380871,43.646844053,6021.0,-79.430472,43.646909,10.21931706749194
13467390,-79.395365615,43.646214851,14975.0,-79.395667,43.646625,34.547507840398346
13467412,-79.392328546,43.646054543,2320.0,-79.392445,43.645947,13.134885363750598
13467412,-79.392328546,43.646054543,6593.0,-79.392154,43.646115,19.448068826543228
13467416,-79.551696758,43.648177799,10243.0,-79.551334,43.648165,40.337730627810394
13467416,-79.551696758,43.648177799,7622.0,-79.55201,43.648186,34.831361894401425
13467434,-79.585187617,43.648520205,4173.0,-79.585232,43.64838,5.683182709880011
13467434,-79.585187617,43.648520205,1379.0,-79.585228,43.648502,4.505277217315333
13467437,-79.369855406,43.645631251,9716.0,-79.369676,43.645428,20.380056657292226
13467444,-79.352481846,43.645312498,3684.0,,,
