ward_o,ward_d,type,total
1,5,imm_md,1.6068493172905034
1,5,imm_pm,31.518941304968518
1,5,lep_am,21.42097952471107
1,5,lep_em,0.731923434196121
1,5,lep_ev,0.7153120780201472
1,5,lep_md,0.5986450334506653
1,5,lep_pm,27.29771957850573
1,5,lico_am,209.75547715306007
1,5,lico_em,15.256850073793952
1,5,lico_ev,15.0
1,5,lico_md,22.0
1,5,lico_pm,230.82434181891205
1,5,rac_am,238.39056844860568
1,5,rac_em,12.429951547001867
1,5,rac_ev,10.72271649890448
1,5,rac_md,13.6468773088785
1,5,rac_pm,243.8146507534717
1,5,raw_am,303.03028996016513
1,5,raw_em,15.256850073793952
1,5,raw_ev,15.0
1,5,raw_md,22.0
1,5,raw_pm,421.6456566593598
1,6,ab_am,0.0567824284976156
1,6,ab_em,0.0
1,6,ab_pm,0.5447070768883986
1,6,bl_am,63.51046684602035
1,6,bl_em,6.292315999642256
1,6,bl_pm,23.775962538366606
1,6,c0_am,19.0
1,6,c0_pm,107.0
1,6,imm_am,20.60198229305918
1,6,imm_em,1.7936599297258131
1,6,imm_pm,19.124789806390094
1,6,lep_am,7.5539207609015335
1,6,lep_em,0.749381016808087
1,6,lep_pm,12.727831318635708
1,6,lico_am,189.0
1,6,lico_pm,147.0
1,6,rac_am,180.6379034117422
1,6,rac_em,15.855928679182574
1,6,rac_pm,119.08649096872583
1,6,raw_am,243.0
1,6,raw_em,18.0
1,6,raw_pm,204.0
1,7,ab_am,0.9758458920972661
1,7,ab_ev,3.410735371040058e-05
1,7,ab_md,0.0766401599496935
1,7,ab_pm,0.3156822120823584
1,7,bl_am,137.66913545936714
1,7,bl_ev,53.28091706465625
1,7,bl_md,44.89393869358737
1,7,bl_pm,124.05851465196584
1,7,c0_am,254.0
1,7,c0_ev,90.0
1,7,c0_md,51.0
1,7,c0_pm,108.0
1,7,imm_am,56.50785341367894
1,7,imm_ev,15.23822488742826
1,7,imm_md,16.635198694977746
1,7,imm_pm,47.63413628794774
1,7,lep_am,30.27953421633092
1,7,lep_ev,12.913912803461333
1,7,lep_md,5.843977031804501
1,7,lep_pm,40.79659110388556
1,7,lico_am,311.0
1,7,lico_ev,146.0
1,7,lico_md,153.0
1,7,lico_pm,263.0
1,7,rac_am,399.0248823721465
1,7,rac_ev,158.29985148368627
1,7,rac_md,113.06161547867202
1,7,rac_pm,409.86002306089136
1,7,raw_am,503.0
1,7,raw_ev,202.0
1,7,raw_md,153.0
1,7,raw_pm,525.0
1,8,ab_am,0.10066761700652373
1,8,ab_md,0.0003499959048062
1,8,ab_pm,0.015484942181829114
1,8,bl_am,43.271859048660005
1,8,bl_md,35.334360362962
1,8,bl_pm,22.163804693641247
1,8,c0_am,56.0
1,8,c0_pm,40.0
1,8,imm_am,17.812619519823713
1,8,imm_md,7.014313950604121
1,8,imm_pm,13.881602411190347
1,8,lep_am,9.536435095248782
1,8,lep_md,4.214664073764275
1,8,lep_pm,3.139022059233115
1,8,lico_am,64.06729908628111
1,8,lico_pm,40.0
1,8,rac_am,147.49048962012367
1,8,rac_md,86.9579268125691
1,8,rac_pm,71.14962006353774
1,8,raw_am,217.0548046568324
1,8,raw_md,107.0
1,8,raw_pm,143.0
1,9,ab_am,0.0580159015027515
1,9,ab_em,0.004213767267637564
1,9,ab_pm,0.6352831167700039
1,9,bl_am,15.90736308222561
1,9,bl_em,0.20840971190620391
1,9,bl_pm,26.143829751609594
1,9,c0_pm,161.0
1,9,imm_am,4.0544275979851285
1,9,imm_em,0.13580827983445093
1,9,imm_pm,16.436045726534832
1,9,lep_am,2.17660017881962
1,9,lep_em,0.08362488155395592
1,9,lep_pm,26.817744969511956
1,9,lico_am,28.0
1,9,lico_em,1.7431499262060988
1,9,lico_pm,115.39698767022536
1,9,rac_am,44.99854341461345
1,9,rac_em,1.4201666148059384
1,9,rac_pm,135.35235852383025
1,9,raw_am,52.0
1,9,raw_em,1.7431499262060988
1,9,raw_pm,346.57567282977766
1,10,ab_am,0.6252993574685729
1,10,ab_em,0.0
1,10,ab_ev,0.0014665969284309106
1,10,ab_pm,0.000255519753729
1,10,bl_am,151.15944265426867
1,10,bl_em,6.388066449486172
1,10,bl_ev,2.346467516026367
1,10,bl_pm,7.101245376257992
1,10,c0_am,63.516541871403376
1,10,c0_ev,9.323259791224316
1,10,c0_pm,62.0
1,10,imm_am,60.88983348471654
1,10,imm_em,1.3025121062523066
1,10,imm_ev,0.5785573824768562
1,10,imm_pm,3.1724697866736347
1,10,lep_am,28.99121976320357
1,10,lep_em,0.4056976511092576
1,10,lep_ev,0.24768971081379437
1,10,lep_pm,12.057720709913662
1,10,lico_am,126.0274961775235
1,10,lico_ev,12.114504999343074
1,10,lico_pm,62.0
1,10,rac_am,440.23907513137726
1,10,rac_em,13.531673268088783
1,10,rac_ev,6.786720251854416
1,10,rac_pm,43.99318883418401
1,10,raw_am,628.7176002882296
1,10,raw_em,19.753044768484145
1,10,raw_ev,12.114504999343074
1,10,raw_pm,62.0
1,11,ab_am,1.9578822834746397
1,11,ab_ev,0.0
1,11,ab_md,0.19307147843612388
1,11,ab_pm,0.11791379767636131
1,11,bl_am,268.4873561638391
1,11,bl_ev,10.371278855599376
1,11,bl_md,45.33298142135165
1,11,bl_pm,23.42622379348404
1,11,c0_am,258.02096331674545
1,11,c0_md,24.0
1,11,c0_pm,183.0
1,11,imm_am,95.43264495465243
1,11,imm_ev,1.5606832208077202
1,11,imm_md,15.918738762064674
1,11,imm_pm,13.91541077054438
1,11,lep_am,45.31625984280365
1,11,lep_ev,1.0838362966903374
1,11,lep_md,7.578005349933278
1,11,lep_pm,7.991334861739326
1,11,lico_am,188.48763254251668
1,11,lico_md,111.0
1,11,lico_pm,143.0
1,11,rac_am,740.9705607438354
1,11,rac_ev,28.03122348617786
1,11,rac_md,120.22181986006461
1,11,rac_pm,101.97150833499958
1,11,raw_am,999.8948581113524
1,11,raw_ev,45.0
1,11,raw_md,195.0
1,11,raw_pm,239.8785783463221
1,12,ab_am,0.16356465070841245
1,12,ab_pm,0.055691050112442984
1,12,bl_am,23.114962466684148
1,12,bl_pm,4.549542127338798
1,12,c0_pm,24.0
1,12,imm_am,11.936965500274452
1,12,imm_pm,4.732443257566598
1,12,lep_am,6.014399815375898
1,12,lep_pm,1.9263316042411447
1,12,lico_am,60.95051630948207
1,12,lico_pm,12.778670510863224
1,12,rac_am,100.54163932298994
1,12,rac_pm,19.752172976578898
1,12,raw_am,140.2891384037276
1,12,raw_pm,52.77867051086322
1,13,ab_am,1.7545444205823304
1,13,ab_em,0.0481094130113148
1,13,ab_ev,0.038361557746611076
1,13,ab_md,0.06593572166451259
1,13,ab_pm,0.15071177441851566
1,13,bl_am,208.11973779378027
1,13,bl_em,3.1095239341415755
1,13,bl_ev,2.4661274657568533
1,13,bl_md,22.696574473325438
1,13,bl_pm,6.363832497502612
1,13,c0_am,107.97903668325571
1,13,c0_ev,6.676740208776866
1,13,c0_md,44.0
1,13,imm_am,69.53234884958633
1,13,imm_em,1.8132393826698052
1,13,imm_ev,0.7661700035395664
1,13,imm_md,18.478084957817487
1,13,imm_pm,3.904803965191156
1,13,lep_am,39.84882604083683
1,13,lep_em,1.713301360182795
