Tue Jun 22 2021 22:37:48 GMT-0400 (EDT) - Run Time: 1213ms

Cross Tabulation Query Form - Transit - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Start time of trip - start_time

RowG:
ColG:
TblG:(1)(400-500)(2)(700-800)(3)(1100-1200)(4)(1700-1800)(5)(2000-2100)

Filters:
Regional municipality of household - region_hhld In 1
and
Regional municipality of origin - region_orig In 1
and
Regional municipality of destination - region_dest In 1
and
No. of vehicles in household - n_vehicle In 0

Tran 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : start_time (2)

  gta06_orig  gta06_dest      total
         271          66          5
         271          68         15
         271         228         45
         271         493         81
         272          70         20
         273          70         15
         273          71          7
         273         187         24
         273         287         40
         274          51         40
         274          57         19
         275          35         12
         276          69         10
         277          71          9
         278          68         41
         278          71         15
         278          75          9
         278          77         37
         278         156         15
         278         184         15
         278         205          7
         278         545         44
         278         582         29
         279          22         45
         279          54         25
         279          57         18
         279          70         34
         279          71         46
         279          73         45
         279         109         32
         279         273         19
         279         275         20
         279         443         22
         279         490         27
         279         613         28
         280          47         15
         280         205         13
         280         223         31
         280         582         16
         281          16         35
         281          25         29
         281          37         36
         281          53         37
         281          55          6
         281          57         21
         281         223         27
         281         259          6
         281         279          9
         282          16         26
         282          20         42
         282          22         26
         282          25         26
         282          36         18
         282          38         62
         282          43         15
         282          66         33
         282          69         33
         282         107         26
         282         110         24
         282         187         26
         282         203         26
         282         211         36
         282         217         10
         282         236         28
         282         259         24
         282         262         43
         282         269         24
         282         292         51
         282         423         49
         282         454         15
         282         530         33
         285          57         21
         285          65         29
         285         290         76
         285         293         23
         285         371         19
         286          17         18
         286         114         21
         286         301         50
         287          43         34
         287          69         34
         287          90         30
         287         204          8
         287         298         60
         288          57         23
         288         299         47
         289         201        119
         290          51         45
         290         233         28
         291         210         59
         291         294         54
         291         309         36
         292          21         30
         293         288          9
         294          69         21
         294         112         30
         294         601         21
         295          21         32
         295          55         25
         297         125         51
         297         371         40
         297         526         51
         298          55          9
         299         297         51
         301          38         23
         304          49         38
         304          51         10
         304          70          4
         304          73          4
         304         175         25
         304         290         64
         304         314         13
         304         330         54
         305          57         36
         305          92         46
         306          37         15
         307          43         11
         307          55         30
         309         292         18
         312          21          9
         312          45         29
         312          49         26
         312          56          5
         312          57          9
         312          67         14
         312         276          7
         312         290          9
         313          29         27
         313          52         25
         313          54         19
         313          55         29
         313          57         28
         313          60         14
         313          63         19
         313          68         13
         313          71         11
         313         187         27
         313         211         26
         313         290         25
         313         292         22
         313         321         39
         313         378         43
         313         421         12
         313         452         19
         313         530         61
         314         203         11
         317         105         42
         319          66         19
         319         345         14
         321         313         39
         325         315          7
         326          34         30
         326          57         15
         326          65         10
         326         300         37
         326         301         30
         328          52         17
         328         119         37
         328         122          5
         331         301         31
         332         450         43
         333          51         21
         333          53          6
         334         228         58
         336          68         14
         341          56         14
         341          67         22
         341         343          5
         342          66         19
         342          71         27
         342         187         25
         342         314         15
         342         372         25
         345          70         55
         346         127         46
         346         331         46
         346         391         48
         347         391         16
         349         133         18
         350          64         14
         350         367         39
         351         158         17
         351         197         16
         353          41         23
         353          52         13
         353         134         13
         353         156         34
         353         290        168
         357         177         40
         357         436         19
         360         390         20
         363          49         51
         364          45         12
         365         389         10
         366          69         25
         366         292         27
         366         383         27
         368         294         23
         368         358         56
         368         373         15
         369         402         40
         370         223          4
         371         223         29
         371         345         45
         371         349         45
         371         370          6
         371         594         31
         372         179          5
         373          25         79
         373          51         70
         373          69         93
         373         331         79
         373         408         50
         374         157         11
         376          57         54
         378         342         25
         380         124         23
         382         391         54
         383         387         32
         384          57          9
         385          36         25
         389          95         21
         390          33         51
         390         204         80
         390         371         34
         390         393         14
         390         397         28
         390         449          7
         390         454         12
         396          44         29
         396          53         62
         396         144         27
         396         393         49
         396         444         29
         397          40         15
         397         455         24
         398          35         16
         398          36         13
         398         178          6
         398         228         13
         398         396         42
         398         414         58
         398         444         58
         399          57         79
         400          36         34
         400         125         33
         400         182         69
         400         391         92
         400         405         23
         400         414         22
         400         415         28
         400         511         27
         401         134         33
         401         140         33
         401         161         36
         401         397         18
         401         526         18
         402          52         59
         402          55         88
         402         394         35
         403          52         85
         403          92         26
         403         228         59
         403         376         54
         403         402         85
         404         125         59
         404         218         32
         404         429         32
         405         140          4
         405         402         59
         405         405          9
         406         157         39
         406         308         23
         406         412         41
         406         414         72
         409         323         19
         409         454         12
         410          52         74
         410         388         63
         411         393         23
         411         405         19
         412          67         20
         412         390         37
         412         414         31
         412         429         14
         413          56          9
         413         389         14
         414          38         14
         414         271        102
         415          54          5
         415         371         48
         420         422          8
         422          47         23
         422          57          5
         422         216         43
         422         393         43
         423          25         43
         423          58         39
         423          81         39
         423          89         25
         423         196         42
         424          35         29
         424          65         19
         424         387         34
         424         452         25
         425          58         47
         427          69         32
         427         391        134
         427         393         32
         427         529         67
         430          54         38
         430         459         31
         431          55         28
         431          67         90
         431         394         38
         431         481         33
         432          53         16
         432         448         25
         432         459         43
         433          24         16
         435         394         18
         436         157         63
         436         428         21
         436         435         45
         436         490         17
         437         182         10
         439          38         70
         439          55         32
         439          66         22
         439         146         32
         439         476         22
         440          68         29
         440          69         29
         440         224         11
         440         391         10
         441          26          5
         441          38         40
         442          37         19
         442          64         10
         442          65         26
         442          90         23
         442         211         18
         442         216          8
         443          25         19
         443          44         17
         443         189          7
         443         292         16
         443         452         69
         443         470         18
         443         484         12
         443         507         23
         444          37         24
         444          38         72
         444          54         37
         444         429         24
         444         435         24
         444         442        101
         446          55         17
         446         583         18
         447         203         32
         448          45         24
         448          55          9
         448          56          8
         448          57          9
         448         454         50
         449         212         23
         450          44         35
         450          51         19
         450          65          4
         450          67         29
         450          68         69
         450          77          9
         450          91          9
         450         228         18
         450         442          9
         450         458          4
         450         466         18
         450         473         39
         450         604         32
         451          48         41
         451         394         43
         452           6         10
         452          25          9
         452          35         13
         452          38         18
         452          49         19
         452          56         29
         452          65         19
         452          66         12
         452         243         48
         452         430         48
         452         480         17
         452         484         13
         454          25         25
         454          35         19
         454          36          5
         454          44         19
         454          45         74
         454          48         19
         454          49         18
         454          51          8
         454          55         31
         454          57         11
         454          65         11
         454          67         25
         454          68         25
         454          69         24
         454          89         26
         454         207         26
         454         217          9
         454         218         11
         454         236         16
         454         391         22
         454         392         25
         454         430         24
         454         473         10
         454         484         20
         455          62         47
         456         189         18
         456         525         45
         457          68         30
         461         444         18
         463          34         21
         463          54         19
         463         101         47
         464          25         33
         464          36         58
         464          43         24
         464          55         22
         464          57          4
         464         228         20
         464         442         24
         465          36         24
         465          78         24
         465         221         13
         465         564         24
         467          44         32
         467          51         16
         467          57         49
         467          66         16
         467         179         16
         467         452         14
         467         459         46
         467         595         20
         467         624         14
         471          21         25
         474          41          6
         474         241          5
         478          56         17
         478          69          7
         478          77         17
         478         273         21
         479          45         11
         479          69         46
         480          49         50
         480         401         23
         480         463         18
         480         582         23
         481          43         20
         481         589          4
         483          50         30
         483          56         88
         483          63         12
         483          94         12
         483         182         17
         483         231         27
         483         236         23
         483         239         82
         483         241         45
         483         279         41
         483         459         27
         483         471         44
         483         476         37
         483         493         37
         483         566         18
         484          54         26
         484         272         19
         484         476         37
         487          38         55
         487         241         27
         487         259         14
         487         487          9
         487         494         16
         487         528         55
         487         582         23
         487         591         25
         487         597         25
         489          67         25
         490          21         14
         490          25         28
         490          45         28
         490          51         21
         490          55         14
         490          67         18
         490         202         18
         490         525         14
         490         561         10
         491          45         20
         491          54         29
         491          69         32
         491         484         15
         491         526         13
         491         581         18
         491         613         14
         492          25         11
         494          67          9
         494         231         14
         494         599         15
         497          66         55
         497         221         89
         497         443         62
         499          50         11
         499         210         28
         499         442         28
         500          50         21
         500          55         21
         500          69         13
         500         355         13
         500         564         63
         500         599         18
         501         494         21
         502         493         55
         502         578         55
         504         210         13
         505         247        107
         506         196         35
         506         239         60
         506         246         34
         507          57          9
         507         505         18
         508          51         21
         508         264         78
         508         473         18
         509           4         16
         509         526         26
         509         578          6
         512          38         46
         513         492         52
         514         566         44
         515         510        114
         515         532         38
         515         615        118
         517         517         24
         518          47          8
         518         166         27
         518         251         11
         518         280         24
         518         542         18
         518         546         24
         518         549          9
         519          57         16
         519         223         22
         519         228         34
         520          37         10
         520         139         12
         520         210         16
         520         241         16
         520         501        106
         520         511         40
         520         519         84
         520         525         10
         520         526         97
         521          63         14
         522         203         29
         522         242         33
         522         263         33
         522         490         33
         522         594         30
         523          89         27
         523         458         23
         523         473         25
         524          43         91
         524          50         65
         524          55         59
         524          68        147
         524         258         65
         524         580        126
         525          66         22
         525         527         26
         526         181         20
         527         210         26
         528          38         20
         528          52         23
         528         216          9
         528         231         15
         528         391         20
         529         601         22
         530         242         12
         531          22         25
         531          55          5
         531         183          8
         531         216         36
         531         236         21
         531         529         47
         531         540         10
         532          36         19
         532          51         10
         532          52         39
         532          70          5
         532         159          7
         532         264          7
         532         511         19
         532         529          9
         532         544          5
         532         545          9
         532         582         21
         533         301          8
         534         250         14
         535          59         15
         535         105         20
         535         250         11
         535         391         15
         535         493         15
         536          40         15
         536          99        100
         536         124         17
         537         155         24
         537         484         24
         538          21         36
         538          44         11
         538         101        107
         538         152         29
         538         202         17
         538         223         38
         538         252         17
         538         254          9
         538         273         22
         538         278         38
         538         371         43
         538         465         34
         538         490         59
         538         532         43
         538         539         20
         538         542         41
         539          77         32
         539          90         31
         539         282          9
         540           1          9
         540         211         18
         541          40         56
         542         543         18
         543          21        115
         543         278         26
         543         527         35
         543         529         12
         544          25         10
         544          37          6
         544          48          6
         544         251         18
         544         466         47
         544         540         33
         545         187         79
         545         558         60
         546         525         14
         549          68          5
         549         253         17
         550         473         20
         550         493         29
         552          45         30
         552          69         18
         552         493         85
         552         564         80
         555         211         19
         559          65         45
         559         234         28
         559         240         37
         559         493        109
         559         520         44
         560         278         59
         560         532         10
         562          35         56
         562          53         31
         562         170         28
         562         282         30
         562         401         23
         562         476         13
         562         509         16
         562         516         67
         562         532         16
         562         610         20
         571         572         29
         572         532         10
         573         179         10
         575         546         18
         575         598         18
         578         562         22
         579          56         27
         579         203         14
         579         204         18
         579         211         32
         579         476         32
         579         491         32
         579         493         32
         579         609         32
         580         493         69
         582         196         25
         582         493         25
         583         118         23
         583         442          8
         584          56         10
         584         391         10
         585          55         66
         585         241         24
         585         335          5
         585         605         66
         585         613          5
         586          66          9
         586         503         13
         586         601         49
         587         210         22
         588          46         25
         588          71         87
         588         394         25
         588         565         21
         588         590         43
         590         240         10
         590         591         55
         592          51         36
         592          94          8
         593         603         89
         594          36         39
         594          77         29
         594         221         20
         594         455         31
         594         601         29
         595          89         28
         595          90         41
         595         467         14
         595         591         18
         595         597         23
         600         566         50
         605         538         20
         607         598         13
         618          69          9
         620         493         22
         621         525         50
         621         613         10
         621         623          9
         622          42         20
         622         620         20

TABLE    : start_time (6)

  gta06_orig  gta06_dest      total
          14          25          7
          14          38          7
          15          52         12
          16          16         17
          16          52          6
          16          67         21
          16          68         32
          16          78         10
          16         391         35
          17          51         23
          17         139         18
          17         209         38
          17         267         17
          18          19         52
          19          90         18
          19         251         34
          21          38         16
          21          45         29
          21          46         21
          21          65         31
          21          69          5
          21          90         43
          21          93         73
          21          95         35
          21         161         38
          21         180          5
          21         210         31
          21         211        119
          21         214         35
          21         249         47
          21         442         19
          21         490         20
          21         511         21
          22          21         17
          22          23         16
          22          35         25
          22          52         16
          22          68         14
          22          74         18
          22         115         18
          22         165         25
          22         201         14
          22         304         23
          22         454         28
          23          52          5
          24          45         23
          24          69         43
          24          76         55
          24         566         56
          25           5         28
          25          14         14
          25          16          6
          25          47         10
          25          56         29
          25          74         22
          25         161         38
          25         175         34
          25         207         21
          25         431         27
          26          38         16
          26          46         27
          26          57         14
          26          67         12
          26          92        132
          26         119         16
          29          21         39
          31          61         17
          34          43          7
          34          70         10
          36          21         31
          36          43          5
          36          46         14
          36          67         21
          36          78         12
          36         216         24
          36         271         15
          37          23          5
          37          42         29
          37          49         41
          37          67         12
          37         109         95
          37         113         38
          37         119         19
          37         151         30
          37         158         31
          37         182         11
          37         209         24
          37         248         14
          37         270         21
          37         282         32
          37         519         67
          37         560         50
          38          21         14
          38          25         18
          38          45         19
          38          75         39
          38         271         15
          38         443         26
          39          24         46
          39          52         14
          39          60         22
          39         131          6
          39         448         10
          40          37         11
          40          46         12
          40          55         10
          40          56         21
          40          65         16
          40          76         11
          40          94         21
          40         174         11
          40         180          9
          40         196         19
          40         204         11
          40         205         12
          40         210         16
          40         211         21
          40         564         27
          41          54         52
          41          63          9
          41          70          8
          41         180         17
          41         243         32
          41         274         24
          42          51         42
          42          52         24
          42         139         15
          42         200         19
          42         211         11
          43          36         62
          43          94         14
          43         191         22
          43         209         18
          43         272         33
          43         279         13
          43         490         20
          43         539         47
          44          51         15
          44          71         12
          44         197         38
          45          26         60
          45          36         27
          45          72         48
          45         119         24
          46          51         10
          46          54         14
          46          70          4
          46          71         12
          46         238         14
          46         245         20
          46         250         12
          46         279         40
          47          52         20
          48          26         16
          48          41          4
          48          57         14
          48          75         12
          48         203         14
          49          55         18
          49          68         17
          49          97          7
          49         103         72
          49         184         27
          49         205         21
          49         212         22
          49         278         37
          49         313         17
          50          19         14
          50         217         21
          51          17         23
          51          37         20
          51          43         34
          51          46         10
          51          67         10
          51         101         33
          51         110         36
          51         266          8
          51         443         14
          51         448         20
          52          19         12
          52          24         42
          52          34         23
          52          95          5
          52          96          6
          52         173         12
          52         202         28
          52         204         35
          52         209         24
          52         219         13
          52         452          7
          52         562         85
          53          36         17
          54          46         28
          54          61         17
          54         177         10
          54         210         17
          55          69         24
          55          90         11
          55          99         48
          55         122         16
          56          70         33
          56         109         40
          56         182         21
          57          38         16
          57          52         14
          57         173         12
          59         250          7
          60         280         20
          61          54         17
          61          57         17
          61          68         43
          61          89         18
          61         210         61
          62          16         11
          62          52         13
          62         157         17
          62         220         15
          63          70         15
          63         289         11
          64         271         12
          65          85         21
          65         290         14
          65         452         11
          66         119         22
          66         173         27
          66         187         17
          66         205         13
          67          21         10
          67          37         12
          67          45         15
          67          51         13
          67         101         20
          67         231         19
          67         249         29
          67         256         11
          68          17         13
          68          21         11
          68          50         35
          68         105          9
          68         204         52
          68         223         17
          68         273         47
          68         595         15
          69          79         26
          69          96         37
          69         109         40
          69         454         24
          70          34          4
          70          43         16
          70          52         14
          70          55         18
          70         120          4
          70         186          5
          70         189         16
          70         538         44
          71          46         23
          71          69          9
          71          98         31
          71         110          5
          71         270         58
          71         400          6
          72          43         33
          72          45         25
          72          65         25
          72         187         33
          72         211         10
          73          75          4
          73          76         23
          74          94          7
          74         145          9
          74         283         13
          75          21         30
          75          51         60
          75         101        134
          75         116         10
          75         150         44
          75         211         15
          75         264         54
          75         466         31
          76          36          9
          76         163          5
          77          69         42
          77         203         21
          78          49         16
          79          25         26
          79          47         18
          79          78         16
          80          85         19
          81          35         11
          84          57          7
          89          45         28
          89          69          6
          89          89         65
          89          97         15
          89         110        130
          89         454         26
          90          25         20
          90          26         17
          90          41         24
          90          46         47
          90          51         27
          90          55          4
          90          68         31
          90          70         19
          90          76          4
          90         101         58
          90         110         19
          90         170         43
          90         179         91
          90         202         19
          90         391         27
          91          99         24
          91         165          7
          92          26        132
          92         158         20
          92         305         46
          93         101          6
          93         131         27
          93         133         34
          93         254         65
          93         272         53
          94          36         33
          94          91         83
          95          77         13
          95         347         74
          96          48         22
          96         426         26
          97          45        100
          97          52          5
          97          74          7
          97         117         15
          98          52         42
          99          15          6
          99          26         12
          99          35         31
          99          46        108
          99          52         39
          99          75         16
         101          40         14
         101          45         22
         101          99         14
         101         145          9
         102         186          6
         102         391         80
         103          49         72
         103          97          9
         104          75         27
         105         105          5
         105         535         20
         107          57         34
         107          66         65
         108          97          5
         109          73          7
         109          94         31
         109         120         37
         110          51          6
         110          67         14
         110          89         65
         110         110        148
         110         115        116
         110         212         37
         110         287         10
         110         371         27
         113          69         18
         113          71         29
         113          90          3
         113         106         30
         113         128         30
         113         211          9
         113         271         59
         114          37          6
         114          75         31
         114         109         41
         114         125         26
         115          99         16
         115         113          8
         115         124          9
         115         352         35
         116          68         20
         116         125         40
         116         130          8
         117          46         13
         117         120         17
         119          50         21
         119          52         27
         119          55         22
         119          70         18
         119         104         20
         119         120         26
         119         222         34
         119         228         22
         120          52         38
         120          90         48
         120          94         15
         120         122         16
         120         125         18
         120         391         28
         122          37         13
         122          42         24
         122          43          9
         122          50          6
         122          68         10
         122         117         13
         122         204         17
         122         314         17
         124         119         44
         125          52         19
         125         116         20
         126         101         29
         126         107          5
         128          45         18
         129         131         14
         129         343         11
         130          21          6
         130          52          6
         130          55         15
         130         125         11
         130         146         11
         130         313          6
         131          37         11
         131         131         14
         131         145        167
         132         131         12
         133         133         23
         133         154         16
         133         177         40
         134         142          9
         135         138         18
         135         408         10
         137          21         30
         138          89         12
         138         180         32
         138         424         24
         139          69         23
         139         132         20
         139         349         18
         139         390         17
         140         146         46
         142         131         13
         143          76         35
         143         452         18
         145         172         10
         146         120         16
         146         137         23
         146         172          6
         147         113        118
         147         360         62
         148          52         27
         148          96         49
         149          53         54
         149         169         91
         150         130         44
         152         113         33
         152         133         20
         152         152          7
         152         156         36
         153         391         35
         156         101         31
         156         150          7
         156         179         10
         157         176         18
         157         179         31
         157         369         46
         158         156         31
         158         173         26
         158         277         23
         160         175        124
         163         101          9
         163         158          9
         163         161          5
         163         211         16
         165          71         12
         165         173         36
         166         153          5
         166         211         86
         167          54         18
         167         443         18
         169           4         21
         169          40         38
         169          61         37
         169          69         94
         169          81         30
         170          29         28
         170         146         21
         170         391         61
         171          57         50
         171         143          7
         172          22          7
         172         173         21
         173          42         22
         173          49         10
         173          52          6
         173          63         24
         173          67         11
         173          69         48
         173          71         12
         173          75         35
         173         101          9
         173         165         36
         173         178         19
         173         179         17
         173         185         10
         173         307         10
         174          25         24
         174         186         17
         175          43         12
         175          50         37
         175          72          7
         175         101         27
