origin,destination,total,type
21,358,19,raw_am
21,387,63,raw_am
21,391,40,raw_am
21,393,33,raw_am
21,395,25,raw_am
21,415,18,raw_am
21,444,34,raw_am
21,484,81,raw_am
21,530,16,raw_am
21,564,18,raw_am
22,23,16,raw_am
22,25,18,raw_am
22,35,28,raw_am
22,45,6,raw_am
22,55,15,raw_am
22,60,13,raw_am
22,63,16,raw_am
22,65,25,raw_am
22,68,18,raw_am
22,73,3,raw_am
22,75,12,raw_am
22,97,28,raw_am
22,170,22,raw_am
22,189,6,raw_am
22,202,16,raw_am
22,252,16,raw_am
22,279,21,raw_am
22,299,28,raw_am
22,307,16,raw_am
22,310,61,raw_am
22,393,25,raw_am
22,420,17,raw_am
22,476,11,raw_am
22,545,19,raw_am
23,54,5,raw_am
23,63,47,raw_am
23,98,42,raw_am
23,310,23,raw_am
23,542,5,raw_am
24,21,5,raw_am
24,34,34,raw_am
24,39,55,raw_am
24,49,13,raw_am
24,68,46,raw_am
24,391,28,raw_am
24,442,43,raw_am
25,21,12,raw_am
25,22,43,raw_am
25,43,31,raw_am
25,45,26,raw_am
25,51,11,raw_am
25,55,20,raw_am
25,57,9,raw_am
25,60,12,raw_am
25,63,42,raw_am
25,68,10,raw_am
25,70,11,raw_am
25,71,9,raw_am
25,90,9,raw_am
25,95,11,raw_am
25,170,7,raw_am
25,173,22,raw_am
25,211,23,raw_am
25,212,13,raw_am
25,228,12,raw_am
25,231,48,raw_am
25,313,21,raw_am
25,348,12,raw_am
25,452,9,raw_am
26,40,17,raw_am
26,45,47,raw_am
26,48,16,raw_am
26,50,12,raw_am
26,55,13,raw_am
26,57,14,raw_am
26,62,20,raw_am
26,66,12,raw_am
26,68,29,raw_am
26,72,14,raw_am
26,76,12,raw_am
26,77,18,raw_am
26,89,12,raw_am
26,157,16,raw_am
26,203,47,raw_am
26,204,14,raw_am
26,210,14,raw_am
26,212,33,raw_am
26,240,17,raw_am
26,442,16,raw_am
26,452,16,raw_am
26,557,12,raw_am
26,589,10,raw_am
29,540,18,raw_am
30,43,22,raw_am
30,51,18,raw_am
30,68,22,raw_am
34,45,33,raw_am
34,46,20,raw_am
34,67,18,raw_am
34,215,11,raw_am
34,234,12,raw_am
34,272,17,raw_am
34,275,10,raw_am
34,391,10,raw_am
34,441,21,raw_am
34,473,13,raw_am
34,582,13,raw_am
35,77,15,raw_am
35,157,13,raw_am
35,210,15,raw_am
36,16,14,raw_am
36,58,13,raw_am
36,172,19,raw_am
36,187,24,raw_am
