origin,destination,type,total
21,248,raw_md,27
21,249,lico_md,47
21,249,lico_pm,100
21,249,raw_md,47
21,249,raw_pm,100
21,250,raw_ev,20
21,251,raw_pm,22
21,252,raw_am,28
21,255,raw_pm,29
21,258,raw_pm,19
21,259,raw_am,19
21,259,raw_pm,12
21,263,raw_pm,8
21,264,lico_am,29
21,264,raw_am,53
21,264,raw_pm,15
21,265,lico_pm,5
21,265,raw_pm,5
21,268,raw_pm,34
21,269,lico_am,19
21,269,raw_am,19
21,270,raw_am,16
21,270,raw_pm,89
21,286,raw_pm,12
21,287,raw_pm,24
21,292,raw_pm,30
21,301,raw_ev,31
21,307,raw_am,18
21,313,raw_pm,22
21,320,raw_pm,31
21,322,raw_pm,14
21,323,raw_pm,8
21,325,raw_pm,14
21,333,raw_pm,13
21,336,raw_pm,12
21,358,raw_am,19
21,361,lico_em,39
21,361,raw_em,39
21,376,lico_pm,54
21,376,raw_pm,54
21,386,raw_em,27
21,387,raw_am,63
21,391,lico_am,40
21,391,raw_am,40
21,393,lico_am,33
21,393,raw_am,33
21,395,lico_am,25
21,395,raw_am,25
21,398,lico_ev,11
21,398,raw_ev,11
21,400,raw_pm,18
21,410,raw_pm,27
21,415,raw_am,18
21,420,raw_ev,32
21,424,raw_pm,20
21,426,lico_pm,19
21,426,raw_pm,19
21,440,raw_pm,27
21,442,lico_md,19
21,442,raw_md,19
21,442,raw_pm,23
21,444,raw_am,34
21,444,raw_pm,34
21,450,raw_pm,11
21,452,lico_pm,27
21,452,raw_pm,46
21,454,raw_pm,6
21,464,raw_pm,10
21,467,raw_pm,7
21,471,raw_ev,28
21,481,lico_pm,20
21,481,raw_pm,20
21,484,raw_am,81
21,490,raw_md,20
21,490,raw_pm,14
21,507,raw_pm,23
21,511,raw_md,21
21,519,raw_em,30
21,523,raw_pm,43
21,524,raw_ev,9
21,530,raw_am,16
21,538,lico_pm,36
21,538,raw_pm,36
21,545,lico_em,19
21,545,raw_em,19
21,552,lico_pm,21
21,552,raw_pm,21
21,554,raw_pm,23
21,564,lico_am,18
21,564,raw_am,18
21,572,lico_pm,68
21,572,raw_pm,68
21,584,raw_pm,7
21,587,raw_pm,9
21,592,raw_pm,13
21,593,raw_pm,11
22,17,raw_pm,31
22,21,lico_md,17
22,21,raw_md,17
22,23,lico_am,16
22,23,lico_md,16
22,23,raw_am,16
22,23,raw_md,16
22,25,raw_am,18
22,26,lico_md,55
22,26,raw_md,55
22,35,raw_am,28
22,35,raw_md,25
22,39,raw_ev,4
22,42,raw_pm,16
22,45,lico_am,6
22,45,raw_am,6
22,46,raw_pm,6
22,52,raw_md,16
22,55,raw_am,15
22,60,raw_am,13
22,63,raw_am,16
22,65,raw_am,25
22,67,raw_md,21
22,67,raw_pm,20
22,68,raw_am,18
22,68,raw_md,14
22,73,raw_am,3
22,74,lico_md,18
22,74,raw_md,18
22,75,raw_am,12
22,76,lico_ev,6
22,76,raw_ev,6
22,93,raw_pm,55
22,97,raw_am,28
22,109,lico_pm,8
22,109,raw_pm,8
22,115,raw_md,18
22,116,raw_em,53
22,154,lico_ev,27
22,154,raw_ev,27
22,165,raw_md,25
22,170,raw_am,22
22,183,raw_pm,16
22,189,lico_am,6
22,189,raw_am,6
22,201,raw_md,14
22,202,raw_am,16
22,203,raw_ev,15
22,212,lico_pm,13
22,212,raw_pm,13
22,232,raw_pm,67
22,252,raw_am,16
22,268,raw_pm,6
22,269,raw_pm,7
22,279,raw_am,21
22,282,raw_pm,26
22,299,raw_am,28
22,304,lico_md,23
22,304,raw_md,23
22,307,lico_am,16
22,307,raw_am,16
22,308,raw_md,22
22,310,raw_am,61
22,393,raw_am,25
