route_id,service_id,trip_id,trip_headsign,direction_id
1,1,32830327,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830326,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830325,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830324,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830323,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830322,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830321,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830320,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830319,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830318,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830317,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830316,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830315,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830314,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830313,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830312,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830311,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830310,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830309,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830308,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830307,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830306,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830305,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830304,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830303,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830302,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830301,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830300,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830299,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830298,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830297,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830296,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830295,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830294,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830090,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830146,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830147,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830148,LINE 1 (YONGE-UNIVERSITY),0
1,1,32830149,LINE 1 (YONGE-UNIVERSITY),0
