node_id,tv_bc_single,o_node_time,d_node_time,o_node,d_node
13444054-21-39,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13451873-21-3,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446675-21-27,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13445495-21-32,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13451634-21-4,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13446727-21-27,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13443728-21-39,1.0,1003-0-20-11,1572-0-99-99,1003,1572
13463771-20-25,0.8,1003-0-20-11,1572-0-99-99,1003,1572
13463771-20-22,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13463771-20-23,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13463995-20-20,0.4,1003-0-20-11,1572-0-99-99,1003,1572
13463995-20-21,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13463995-20-24,0.6,1003-0-20-11,1572-0-99-99,1003,1572
13463995-20-22,0.4,1003-0-20-11,1572-0-99-99,1003,1572
13463995-20-19,0.4,1003-0-20-11,1572-0-99-99,1003,1572
13464286-20-19,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13464286-20-23,0.4,1003-0-20-11,1572-0-99-99,1003,1572
13464286-20-17,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13464286-20-21,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13464286-20-18,0.2,1003-0-20-11,1572-0-99-99,1003,1572
13464286-20-20,0.2,1003-0-20-11,1572-0-99-99,1003,1572
216-20-43,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13463882-21-5,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13464771-20-18,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13464855-20-20,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
1166-99-99,1.0,1004-0-20-11,1166-0-99-99,1004,1166
210-20-59,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13463535-21-8,1.0,1004-0-20-11,1166-0-99-99,1004,1166
218-20-36,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
156-20-49,1.0,1004-0-20-11,1166-0-99-99,1004,1166
218-20-41,1.0,1004-0-20-11,1166-0-99-99,1004,1166
218-20-39,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
217-20-42,1.0,1004-0-20-11,1166-0-99-99,1004,1166
210-20-56,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13463535-21-6,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13464398-20-30,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
13465231-20-24,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
13464771-20-20,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
106-20-46,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13464177-20-31,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
210-20-57,0.5,1004-0-20-11,1166-0-99-99,1004,1166
13465109-20-23,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
212-20-53,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13465231-20-28,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
13465017-20-22,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
214-20-50,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13462704-20-34,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
13465231-20-26,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
1004-20-11,1.0,1004-0-20-11,1166-0-99-99,1004,1166
210-21-1,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13464313-21-3,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13463084-20-33,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
13464948-20-21,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
218-20-38,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
13463801-20-32,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
215-20-48,1.0,1004-0-20-11,1166-0-99-99,1004,1166
211-20-55,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13464778-21-2,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13464658-20-29,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
209-20-56,0.5,1004-0-20-11,1166-0-99-99,1004,1166
13463447-20-32,0.6666666666666666,1004-0-20-11,1166-0-99-99,1004,1166
213-20-52,1.0,1004-0-20-11,1166-0-99-99,1004,1166
13464709-20-19,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13464709-20-17,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13465276-20-21,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13464662-20-24,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13464855-20-22,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
220-20-39,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13464254-20-25,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
220-20-34,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
220-20-37,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13463522-20-28,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13463166-20-30,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13462117-20-33,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13465276-20-18,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13463245-20-29,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13465276-20-19,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13462891-20-31,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13462518-20-32,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
220-20-36,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
219-20-40,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13465276-20-17,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
13463796-20-28,0.3333333333333333,1004-0-20-11,1166-0-99-99,1004,1166
210-20-58,0.5,1004-0-20-11,1166-0-99-99,1004,1166
13465276-20-21,1.0,1004-0-20-11,1251-0-99-99,1004,1251
224-20-44,1.0,1004-0-20-11,1251-0-99-99,1004,1251
222-20-40,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13464662-20-24,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13464855-20-22,1.0,1004-0-20-11,1251-0-99-99,1004,1251
223-20-41,1.0,1004-0-20-11,1251-0-99-99,1004,1251
225-20-45,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13464254-20-25,1.0,1004-0-20-11,1251-0-99-99,1004,1251
220-20-34,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13463522-20-28,1.0,1004-0-20-11,1251-0-99-99,1004,1251
225-20-47,1.0,1004-0-20-11,1251-0-99-99,1004,1251
1004-20-11,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13463166-20-30,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13462117-20-33,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13465276-20-18,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13463245-20-29,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13465276-20-19,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13462891-20-31,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13462518-20-32,1.0,1004-0-20-11,1251-0-99-99,1004,1251
220-20-36,1.0,1004-0-20-11,1251-0-99-99,1004,1251
221-20-39,1.0,1004-0-20-11,1251-0-99-99,1004,1251
1251-99-99,1.0,1004-0-20-11,1251-0-99-99,1004,1251
220-20-38,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13465276-20-17,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13463796-20-28,1.0,1004-0-20-11,1251-0-99-99,1004,1251
13465276-20-21,1.0,1005-0-20-11,1250-0-99-99,1005,1250
224-20-44,1.0,1005-0-20-11,1250-0-99-99,1005,1250
222-20-40,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13464662-20-24,1.0,1005-0-20-11,1250-0-99-99,1005,1250
13464855-20-22,1.0,1005-0-20-11,1250-0-99-99,1005,1250
223-20-41,1.0,1005-0-20-11,1250-0-99-99,1005,1250
225-20-45,1.0,1005-0-20-11,1250-0-99-99,1005,1250
