INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
220,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13464177,0.21301775147928995,1025-0-20-45,1523-0-99-99,1025,1523
221,1.0,1025-0-20-45,1523-0-99-99,1025,1523
224,1.0,1025-0-20-45,1523-0-99-99,1025,1523
228,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13465975,0.1952662721893491,1025-0-20-45,1523-0-99-99,1025,1523
13463801,0.21301775147928995,1025-0-20-45,1523-0-99-99,1025,1523
13465478,0.1952662721893491,1025-0-20-45,1523-0-99-99,1025,1523
13465231,0.1952662721893491,1025-0-20-45,1523-0-99-99,1025,1523
219,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13465313,0.1952662721893491,1025-0-20-45,1523-0-99-99,1025,1523
13466241,0.22485207100591717,1025-0-20-45,1523-0-99-99,1025,1523
13465784,0.1952662721893491,1025-0-20-45,1523-0-99-99,1025,1523
13463084,0.21301775147928995,1025-0-20-45,1523-0-99-99,1025,1523
227,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13452476,1.0,1025-0-20-45,1523-0-99-99,1025,1523
218,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13463447,0.21301775147928995,1025-0-20-45,1523-0-99-99,1025,1523
1025,1.0,1025-0-20-45,1523-0-99-99,1025,1523
226,1.0,1025-0-20-45,1523-0-99-99,1025,1523
223,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13466482,0.21005917159763313,1025-0-20-45,1523-0-99-99,1025,1523
13464398,0.21301775147928995,1025-0-20-45,1523-0-99-99,1025,1523
14243510,0.1952662721893491,1025-0-20-45,1523-0-99-99,1025,1523
13452253,1.0,1025-0-20-45,1523-0-99-99,1025,1523
1523,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13464658,0.21301775147928995,1025-0-20-45,1523-0-99-99,1025,1523
13451799,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13466404,0.21597633136094674,1025-0-20-45,1523-0-99-99,1025,1523
225,1.0,1025-0-20-45,1523-0-99-99,1025,1523
13464607,0.35502958579881655,1025-0-20-45,1523-0-99-99,1025,1523
13465715,0.23668639053254437,1025-0-20-45,1523-0-99-99,1025,1523
217,0.7869822485207101,1025-0-20-45,1523-0-99-99,1025,1523
