o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1016-0-11-29,1093-0-99-99,13466960,151,514.0,1.0
1016-0-11-29,1093-0-99-99,13466991,13466407,511.0,1.0
1016-0-11-29,1093-0-99-99,13467252,13466991,511.0,1.0
1016-0-11-29,1093-0-99-99,13467321,13467412,514.0,1.0
1016-0-11-29,1093-0-99-99,13467412,13467505,514.0,1.0
1016-0-11-29,1093-0-99-99,13467505,13467654,514.0,1.0
1016-0-11-29,1093-0-99-99,13467654,13467722,514.0,1.0
1016-0-11-29,1093-0-99-99,13467722,13467252,511.0,1.0
1016-0-11-29,1093-0-99-99,14243510,13466241,514.0,1.0
1016-0-11-29,1093-0-99-99,151,13467321,514.0,1.0
1016-0-11-29,1109-0-99-99,101,13466960,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,101,13466960,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13465784,13465975,504.0,0.041666666666666664
1016-0-11-29,1109-0-99-99,13465975,14243510,504.0,0.08333333333333333
1016-0-11-29,1109-0-99-99,13465975,14243510,514.0,0.4166666666666667
1016-0-11-29,1109-0-99-99,13466241,13466404,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13466241,13466404,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13466404,13466482,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13466404,13466482,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13466482,13466630,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13466482,13466630,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13466630,13466729,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13466630,13466729,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13466729,101,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13466729,101,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13466960,151,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13466960,151,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467321,13467412,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467321,13467412,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467412,13467505,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467412,13467505,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467505,13467654,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467505,13467654,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467654,13467722,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467654,13467722,514.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467715,13467817,501.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467722,13467795,501.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467722,13467795,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467722,13467795,514.0,0.6666666666666666
1016-0-11-29,1109-0-99-99,13467795,13467859,501.0,0.3333333333333333
1016-0-11-29,1109-0-99-99,13467795,13467859,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467795,13467859,514.0,0.5
1016-0-11-29,1109-0-99-99,13467817,13467882,501.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467859,13467971,501.0,0.5
1016-0-11-29,1109-0-99-99,13467859,13467971,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467859,13467971,514.0,0.3333333333333333
1016-0-11-29,1109-0-99-99,13467882,13467944,501.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467944,13467983,501.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13467971,13468053,501.0,0.6666666666666666
1016-0-11-29,1109-0-99-99,13467971,13468053,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467971,13468053,514.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13467983,13468080,501.0,0.8333333333333334
1016-0-11-29,1109-0-99-99,13468053,13468120,504.0,0.16666666666666666
1016-0-11-29,1109-0-99-99,13468053,30109241,501.0,0.8333333333333334
