INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13466404,1.0,1016-0-11-36,1068-0-99-99,1016,1068
13466482,1.0,1016-0-11-36,1068-0-99-99,1016,1068
151,1.0,1016-0-11-36,1068-0-99-99,1016,1068
152,1.0,1016-0-11-36,1068-0-99-99,1016,1068
14243510,1.0,1016-0-11-36,1068-0-99-99,1016,1068
13466630,1.0,1016-0-11-36,1068-0-99-99,1016,1068
13466241,1.0,1016-0-11-36,1068-0-99-99,1016,1068
1016,1.0,1016-0-11-36,1068-0-99-99,1016,1068
100,1.0,1016-0-11-36,1068-0-99-99,1016,1068
13465784,0.5,1016-0-11-36,1068-0-99-99,1016,1068
13466729,1.0,1016-0-11-36,1078-0-99-99,1016,1078
1078,1.0,1016-0-11-36,1078-0-99-99,1016,1078
101,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13465975,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13467321,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13467505,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13466404,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13466482,1.0,1016-0-11-36,1078-0-99-99,1016,1078
151,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13467412,1.0,1016-0-11-36,1078-0-99-99,1016,1078
14243510,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13466630,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13466960,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13466241,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13467654,1.0,1016-0-11-36,1078-0-99-99,1016,1078
1016,1.0,1016-0-11-36,1078-0-99-99,1016,1078
13465784,0.5,1016-0-11-36,1078-0-99-99,1016,1078
13467722,1.0,1016-0-11-36,1093-0-99-99,1016,1093
1093,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13465217,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466105,1.0,1016-0-11-36,1093-0-99-99,1016,1093
151,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466630,1.0,1016-0-11-36,1093-0-99-99,1016,1093
101,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13467321,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466960,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466241,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466729,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466991,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13467505,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13467252,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466404,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466482,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13466407,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13467412,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13465757,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13467654,1.0,1016-0-11-36,1093-0-99-99,1016,1093
1016,1.0,1016-0-11-36,1093-0-99-99,1016,1093
13465975,0.6666666666666666,1016-0-11-36,1093-0-99-99,1016,1093
14243510,0.6666666666666666,1016-0-11-36,1093-0-99-99,1016,1093
13465784,0.3333333333333333,1016-0-11-36,1093-0-99-99,1016,1093
13465975,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13467795,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13467722,1.0,1016-0-11-36,1109-0-99-99,1016,1109
1109,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13468053,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13468374,1.0,1016-0-11-36,1109-0-99-99,1016,1109
151,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13467859,1.0,1016-0-11-36,1109-0-99-99,1016,1109
14243510,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13466630,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13467971,1.0,1016-0-11-36,1109-0-99-99,1016,1109
101,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13467321,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13468120,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13468520,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13466960,1.0,1016-0-11-36,1109-0-99-99,1016,1109
20056886,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13466241,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13466729,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13467505,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13466404,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13466482,1.0,1016-0-11-36,1109-0-99-99,1016,1109
13467412,1.0,1016-0-11-36,1109-0-99-99,1016,1109
