trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260678,14542,2,304,20,1,41
39260678,14543,3,303,20,3,28
39260678,14544,4,302,20,4,58
39260678,14545,5,301,20,7,21
39260678,14546,6,228,20,11,43
39260679,14541,1,305,20,5,0
39260679,14542,2,304,20,6,41
39260679,14543,3,303,20,8,28
39260679,14544,4,302,20,9,58
39260679,14545,5,301,20,12,21
39260679,14546,6,228,20,16,43
39260680,14541,1,305,20,10,0
39260680,14542,2,304,20,11,41
39260680,14543,3,303,20,13,28
39260680,14544,4,302,20,14,58
39260680,14545,5,301,20,17,21
39260680,14546,6,228,20,21,43
39260681,14541,1,305,20,15,0
39260681,14542,2,304,20,16,41
39260681,14543,3,303,20,18,28
39260681,14544,4,302,20,19,58
39260681,14545,5,301,20,22,21
39260681,14546,6,228,20,26,43
39260682,14541,1,305,20,20,0
39260682,14542,2,304,20,21,41
39260682,14543,3,303,20,23,28
39260682,14544,4,302,20,24,58
39260682,14545,5,301,20,27,21
39260682,14546,6,228,20,31,43
39260683,14541,1,305,20,25,0
39260683,14542,2,304,20,26,41
39260683,14543,3,303,20,28,28
39260683,14544,4,302,20,29,58
39260683,14545,5,301,20,32,21
39260683,14546,6,228,20,36,43
39260684,14541,1,305,20,30,0
39260684,14542,2,304,20,31,41
39260684,14543,3,303,20,33,28
39260684,14544,4,302,20,34,58
39260684,14545,5,301,20,37,21
39260684,14546,6,228,20,41,43
39260685,14541,1,305,20,35,0
39260685,14542,2,304,20,36,41
39260685,14543,3,303,20,38,28
39260685,14544,4,302,20,39,58
39260685,14545,5,301,20,42,21
39260685,14546,6,228,20,46,43
39260779,14552,6,305,17,0,0
39260780,14551,5,304,17,0,31
39260780,14552,6,305,17,5,0
39260781,14549,3,302,17,2,18
39260781,14550,4,303,17,3,43
39260781,14551,5,304,17,5,31
39260781,14552,6,305,17,10,0
39260782,14547,1,228,17,1,43
39260782,14548,2,301,17,4,43
39260782,14549,3,302,17,7,18
39260782,14550,4,303,17,8,43
39260782,14551,5,304,17,10,31
39260782,14552,6,305,17,15,0
39260783,14547,1,228,17,6,43
39260783,14548,2,301,17,9,43
39260783,14549,3,302,17,12,18
39260783,14550,4,303,17,13,43
39260783,14551,5,304,17,15,31
39260783,14552,6,305,17,20,0
39260784,14547,1,228,17,11,43
39260784,14548,2,301,17,14,43
39260784,14549,3,302,17,17,18
39260784,14550,4,303,17,18,43
39260784,14551,5,304,17,20,31
39260784,14552,6,305,17,25,0
39260785,14547,1,228,17,16,43
39260785,14548,2,301,17,19,43
39260785,14549,3,302,17,22,18
39260785,14550,4,303,17,23,43
39260785,14551,5,304,17,25,31
39260785,14552,6,305,17,30,0
39260786,14547,1,228,17,21,43
39260786,14548,2,301,17,24,43
39260786,14549,3,302,17,27,18
39260786,14550,4,303,17,28,43
39260786,14551,5,304,17,30,31
39260786,14552,6,305,17,35,0
39260787,14547,1,228,17,26,43
39260787,14548,2,301,17,29,43
39260787,14549,3,302,17,32,18
39260787,14550,4,303,17,33,43
39260787,14551,5,304,17,35,31
39260787,14552,6,305,17,40,0
39260788,14547,1,228,17,31,43
39260788,14548,2,301,17,34,43
39260788,14549,3,302,17,37,18
39260788,14550,4,303,17,38,43
39260788,14551,5,304,17,40,31
39260788,14552,6,305,17,45,0
39260789,14547,1,228,17,36,43
39260789,14548,2,301,17,39,43
39260789,14549,3,302,17,42,18
39260789,14550,4,303,17,43,43
39260789,14551,5,304,17,45,31
39260789,14552,6,305,17,50,0
39260790,14547,1,228,17,41,43
39260790,14548,2,301,17,44,43
39260790,14549,3,302,17,47,18
39260790,14550,4,303,17,48,43
39260790,14551,5,304,17,50,31
39260790,14552,6,305,17,55,0
39260791,14547,1,228,17,46,43
39260791,14548,2,301,17,49,43
39260791,14549,3,302,17,52,18
39260791,14550,4,303,17,53,43
39260791,14551,5,304,17,55,31
39260791,14552,6,305,18,0,0
