trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260698,14552,6,305,7,12,15
39260699,14547,1,228,7,3,58
39260699,14548,2,301,7,6,58
39260699,14549,3,302,7,9,33
39260699,14550,4,303,7,10,58
39260699,14551,5,304,7,12,46
39260699,14552,6,305,7,17,15
39260700,14547,1,228,7,8,58
39260700,14548,2,301,7,11,58
39260700,14549,3,302,7,14,33
39260700,14550,4,303,7,15,58
39260700,14551,5,304,7,17,46
39260700,14552,6,305,7,22,15
39260701,14547,1,228,7,13,58
39260701,14548,2,301,7,16,58
39260701,14549,3,302,7,19,33
39260701,14550,4,303,7,20,58
39260701,14551,5,304,7,22,46
39260701,14552,6,305,7,27,15
39260702,14547,1,228,7,18,58
39260702,14548,2,301,7,21,58
39260702,14549,3,302,7,24,33
39260702,14550,4,303,7,25,58
39260702,14551,5,304,7,27,46
39260702,14552,6,305,7,32,15
39260703,14547,1,228,7,23,58
39260703,14548,2,301,7,26,58
39260703,14549,3,302,7,29,33
39260703,14550,4,303,7,30,58
39260703,14551,5,304,7,32,46
39260703,14552,6,305,7,37,15
39260704,14547,1,228,7,28,58
39260704,14548,2,301,7,31,58
39260704,14549,3,302,7,34,33
39260704,14550,4,303,7,35,58
39260704,14551,5,304,7,37,46
39260704,14552,6,305,7,42,15
39260705,14547,1,228,7,33,58
39260705,14548,2,301,7,36,58
39260705,14549,3,302,7,39,33
39260705,14550,4,303,7,40,58
39260705,14551,5,304,7,42,46
39260705,14552,6,305,7,47,15
39260706,14547,1,228,7,38,58
39260706,14548,2,301,7,41,58
39260706,14549,3,302,7,44,33
39260706,14550,4,303,7,45,58
39260706,14551,5,304,7,47,46
39260706,14552,6,305,7,52,15
39260707,14547,1,228,7,43,58
39260707,14548,2,301,7,46,58
39260707,14549,3,302,7,49,33
39260707,14550,4,303,7,50,58
39260707,14551,5,304,7,52,46
39260707,14552,6,305,7,57,15
39260708,14547,1,228,7,48,58
39260708,14548,2,301,7,51,58
39260708,14549,3,302,7,54,33
39260708,14550,4,303,7,55,58
39260708,14551,5,304,7,57,46
39260708,14552,6,305,8,2,15
39260709,14547,1,228,7,53,58
39260709,14548,2,301,7,56,58
39260709,14549,3,302,7,59,33
39260709,14550,4,303,8,0,58
