trip_id,stop_id,stop_sequence,INT_ID,hour,minute,seconds
39260515,14545,5,301,0,50,26
39260515,14546,6,228,0,56,15
39260516,14541,1,305,0,49,30
39260516,14542,2,304,0,51,16
39260516,14543,3,303,0,53,8
39260516,14544,4,302,0,54,43
39260516,14545,5,301,0,57,11
39260517,14541,1,305,0,56,15
39260517,14542,2,304,0,58,1
39260517,14543,3,303,0,59,53
39260676,14546,6,228,20,1,43
39260677,14545,5,301,20,2,21
39260677,14546,6,228,20,6,43
39260678,14541,1,305,20,0,0
39260678,14542,2,304,20,1,41
39260678,14543,3,303,20,3,28
39260678,14544,4,302,20,4,58
39260678,14545,5,301,20,7,21
39260678,14546,6,228,20,11,43
39260679,14541,1,305,20,5,0
39260679,14542,2,304,20,6,41
39260679,14543,3,303,20,8,28
39260679,14544,4,302,20,9,58
39260679,14545,5,301,20,12,21
39260679,14546,6,228,20,16,43
39260680,14541,1,305,20,10,0
39260680,14542,2,304,20,11,41
39260680,14543,3,303,20,13,28
39260680,14544,4,302,20,14,58
39260680,14545,5,301,20,17,21
39260680,14546,6,228,20,21,43
39260681,14541,1,305,20,15,0
39260681,14542,2,304,20,16,41
39260681,14543,3,303,20,18,28
39260681,14544,4,302,20,19,58
39260681,14545,5,301,20,22,21
39260681,14546,6,228,20,26,43
39260682,14541,1,305,20,20,0
39260682,14542,2,304,20,21,41
39260682,14543,3,303,20,23,28
39260682,14544,4,302,20,24,58
39260682,14545,5,301,20,27,21
39260682,14546,6,228,20,31,43
39260683,14541,1,305,20,25,0
39260683,14542,2,304,20,26,41
39260683,14543,3,303,20,28,28
39260683,14544,4,302,20,29,58
39260683,14545,5,301,20,32,21
39260683,14546,6,228,20,36,43
39260684,14541,1,305,20,30,0
39260684,14542,2,304,20,31,41
39260684,14543,3,303,20,33,28
39260684,14544,4,302,20,34,58
39260684,14545,5,301,20,37,21
39260684,14546,6,228,20,41,43
39260685,14541,1,305,20,35,0
39260685,14542,2,304,20,36,41
39260685,14543,3,303,20,38,28
39260685,14544,4,302,20,39,58
39260685,14545,5,301,20,42,21
39260685,14546,6,228,20,46,43
39260832,14547,1,228,20,53,30
39260832,14548,2,301,20,56,35
39260832,14549,3,302,20,59,15
39260832,14550,4,303,21,0,45
39260832,14551,5,304,21,2,38
39260832,14552,6,305,21,7,0
39260833,14547,1,228,21,0,0
39260833,14548,2,301,21,3,5
39260833,14549,3,302,21,5,45
39260833,14550,4,303,21,7,15
39260833,14551,5,304,21,9,8
39260833,14552,6,305,21,13,30
39260834,14547,1,228,21,6,45
39260834,14548,2,301,21,9,50
39260834,14549,3,302,21,12,30
39260834,14550,4,303,21,14,0
39260834,14551,5,304,21,15,53
39260834,14552,6,305,21,20,15
39260835,14547,1,228,21,13,30
39260835,14548,2,301,21,16,35
39260835,14549,3,302,21,19,15
39260835,14550,4,303,21,20,45
39260835,14551,5,304,21,22,38
39260835,14552,6,305,21,27,0
39260836,14547,1,228,21,20,15
39260836,14548,2,301,21,23,20
39260836,14549,3,302,21,26,0
39260836,14550,4,303,21,27,30
39260836,14551,5,304,21,29,23
39260836,14552,6,305,21,33,45
39260837,14547,1,228,21,27,0
39260837,14548,2,301,21,30,5
39260837,14549,3,302,21,32,45
39260837,14550,4,303,21,34,15
39260837,14551,5,304,21,36,8
39260837,14552,6,305,21,40,30
39260838,14547,1,228,21,33,45
39260838,14548,2,301,21,36,50
39260838,14549,3,302,21,39,30
39260838,14550,4,303,21,41,0
39260838,14551,5,304,21,42,53
39260838,14552,6,305,21,47,15
39260839,14547,1,228,21,40,30
39260839,14548,2,301,21,43,35
39260839,14549,3,302,21,46,15
39260839,14550,4,303,21,47,45
39260839,14551,5,304,21,49,38
39260839,14552,6,305,21,54,0
39260840,14547,1,228,21,47,15
39260840,14548,2,301,21,50,20
39260840,14549,3,302,21,53,0
39260840,14550,4,303,21,54,30
39260840,14551,5,304,21,56,23
39260840,14552,6,305,22,0,45
39260841,14547,1,228,21,54,0
39260841,14548,2,301,21,57,5
39260841,14549,3,302,21,59,45
39260841,14550,4,303,22,1,15
39260841,14551,5,304,22,3,8
39260841,14552,6,305,22,7,30
39260842,14547,1,228,22,0,45
39260842,14548,2,301,22,3,50
39260842,14549,3,302,22,6,30
39260842,14550,4,303,22,8,0
39260842,14551,5,304,22,9,53
39260842,14552,6,305,22,14,15
39260843,14547,1,228,22,7,30
39260843,14548,2,301,22,10,35
39260843,14549,3,302,22,13,15
39260843,14550,4,303,22,14,45
39260843,14551,5,304,22,16,38
39260843,14552,6,305,22,21,0
39260844,14547,1,228,22,14,15
39260844,14548,2,301,22,17,20
39260844,14549,3,302,22,20,0
39260844,14550,4,303,22,21,30
39260844,14551,5,304,22,23,23
39260844,14552,6,305,22,27,45
39260845,14547,1,228,22,21,0
39260845,14548,2,301,22,24,5
39260845,14549,3,302,22,26,45
39260845,14550,4,303,22,28,15
39260845,14551,5,304,22,30,8
