ward,cycles,scaled_cycles,removed_cycles,N,cycle_availability,area,ward_name,cycle_density,period
3,28,0.9929078014184383,19,255,0.0019279763134338608,40.01243087294999,Etobicoke-Lakeshore,0.024814983237863804,AM
4,15,0.6489361702127653,7,126,0.0025250434638628997,15.324932601367276,Parkdale-High Park,0.042345123929280304,AM
5,29,1.3262411347517715,8,207,0.0031652533048968294,24.973566676277184,York South-Weston,0.05310579589785189,AM
6,19,1.0673758865248222,12,186,0.0028312357732753904,35.35267319595879,York Centre,0.030192225651746053,AM
7,18,0.744680851063829,10,175,0.002097692538207969,30.694206585929987,Humber River-Black Creek,0.02426128360669813,AM
8,10,0.28368794326241054,10,154,0.0009063512564294266,22.657719856949853,Eglinton-Lawrence,0.012520586583887622,AM
9,12,0.8652482269503539,0,101,0.004179943125364028,12.092764199593494,Davenport,0.07155090537359851,AM
10,13,0.5177304964539001,4,81,0.003100182613496408,9.301089014978645,Spadina-Fort York,0.05566342775777518,AM
11,20,0.8262411347517722,5,113,0.003576801449141871,13.594704244601502,University-Rosedale,0.060776690679377965,AM
12,9,0.28014184397163067,11,102,0.001340391597950386,13.119079184300707,Toronto-St. Paul's,0.021353773388826696,AM
13,17,0.3014184397163113,4,90,0.0016292888633314127,5.861978760182593,Toronto Centre,0.051419230953836235,AM
14,19,1.2340425531914885,9,156,0.0038928787166923927,21.79805561500022,Toronto-Danforth,0.056612505949488835,AM
15,7,0.25531914893617,14,156,0.0008054231827639433,30.291446962976995,Don Valley West,0.008428753807905837,AM
16,17,0.7801418439716303,3,122,0.0031330997749864672,22.961197918076145,Don Valley East,0.03397653061286779,AM
17,13,1.1843971631205668,6,117,0.00495563666577643,24.416753467597097,Don Valley North,0.04850756119941795,AM
18,12,0.5319148936170206,5,125,0.002085940759282434,19.75882362536991,Willowdale,0.026920372573904307,AM
19,8,0.4716312056737584,6,139,0.0016665413628048,16.80175712271847,Beaches-East York,0.028070350156177593,AM
20,14,0.5709219858156018,16,196,0.001438090644371793,28.187889894594186,Scarborough Southwest,0.02025415836199545,AM
21,17,1.2836879432624104,12,163,0.0038782113089498803,28.20183652636778,Scarborough Centre,0.04551788469740986,AM
22,22,1.7127659574468077,6,127,0.006612995974698099,21.395977487483425,Scarborough-Agincourt,0.08005083939019707,AM
23,23,1.081560283687942,7,164,0.00324792877984367,30.433948652080108,Scarborough North,0.03553795454057912,AM
24,5,0.3936170212765956,5,87,0.0021989777724949473,26.11473129470679,Scarborough-Guildwood,0.015072604685631135,AM
25,11,0.38652482269503513,10,170,0.0011203618049131453,54.085105633097456,Scarborough-Rouge Park,0.007146603823188259,AM
1,24,1.4764150943396217,4,211,0.0034576465909593014,48.35226406897412,Etobicoke North,0.03053455971024495,MD
2,8,0.4622641509433958,5,172,0.0013245391144509908,37.33975371399385,Etobicoke Centre,0.012379946436822711,MD
3,25,1.2405660377358478,20,250,0.0024565664113581145,40.01243087294999,Etobicoke-Lakeshore,0.031004515613534497,MD
4,14,0.688679245283018,6,122,0.002765780101538225,15.324932601367276,Parkdale-High Park,0.04493848444211589,MD
5,23,1.15566037735849,8,201,0.0028394603866301964,24.973566676277184,York South-Weston,0.04627534353978647,MD
6,14,0.8537735849056595,13,180,0.0023391057120703,35.35267319595879,York Centre,0.024150184631674624,MD
7,9,0.7075471698113204,7,135,0.002572898799313892,30.694206585929987,Humber River-Black Creek,0.02305148914113503,MD
8,8,0.26886792452830144,8,148,0.0008932489186986759,22.657719856949853,Eglinton-Lawrence,0.011866504053620866,MD
