INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13447719,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13457078,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13444082,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13456650,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13444956,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13461921,1.0,1021-0-4-39,1386-0-99-99,1021,1386
13446042,1.0,1021-0-4-39,1386-0-99-99,1021,1386
216,0.25,1021-0-4-39,1386-0-99-99,1021,1386
13463723,0.5,1021-0-4-39,1386-0-99-99,1021,1386
105,0.25,1021-0-4-39,1386-0-99-99,1021,1386
13464177,0.06219512195121951,1021-0-4-39,1519-0-99-99,1021,1519
224,0.9817073170731707,1021-0-4-39,1519-0-99-99,1021,1519
223,0.9817073170731707,1021-0-4-39,1519-0-99-99,1021,1519
1021,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13462891,0.006097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
225,1.0,1021-0-4-39,1519-0-99-99,1021,1519
227,1.0,1021-0-4-39,1519-0-99-99,1021,1519
1519,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13464004,0.054878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13464520,0.03414634146341464,1021-0-4-39,1519-0-99-99,1021,1519
13464403,0.20609756097560974,1021-0-4-39,1519-0-99-99,1021,1519
13463892,0.054878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13452053,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13464586,0.08536585365853659,1021-0-4-39,1519-0-99-99,1021,1519
13463522,0.006097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
13461356,0.9463414634146341,1021-0-4-39,1519-0-99-99,1021,1519
222,0.9463414634146341,1021-0-4-39,1519-0-99-99,1021,1519
13462117,0.006097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
13464785,0.19390243902439025,1021-0-4-39,1519-0-99-99,1021,1519
13451957,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13464490,0.06097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
226,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13462518,0.006097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
13463796,0.054878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13463166,0.006097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
13452119,1.0,1021-0-4-39,1519-0-99-99,1021,1519
228,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13452476,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13464667,0.11463414634146342,1021-0-4-39,1519-0-99-99,1021,1519
13464269,0.06097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
221,0.9463414634146341,1021-0-4-39,1519-0-99-99,1021,1519
13461657,0.9463414634146341,1021-0-4-39,1519-0-99-99,1021,1519
220,0.9463414634146341,1021-0-4-39,1519-0-99-99,1021,1519
13452383,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13452308,1.0,1021-0-4-39,1519-0-99-99,1021,1519
13463245,0.006097560975609756,1021-0-4-39,1519-0-99-99,1021,1519
13462427,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13463372,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13462225,0.03048780487804878,1021-0-4-39,1519-0-99-99,1021,1519
13463573,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13463705,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13462844,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13463279,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13461623,0.03048780487804878,1021-0-4-39,1519-0-99-99,1021,1519
13463082,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13463183,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13462953,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13463777,0.19146341463414634,1021-0-4-39,1519-0-99-99,1021,1519
13464154,0.18658536585365854,1021-0-4-39,1519-0-99-99,1021,1519
13461380,0.03048780487804878,1021-0-4-39,1519-0-99-99,1021,1519
13463478,0.04878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13459300,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13459601,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13460244,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13459808,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13459980,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13460535,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13460964,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13459143,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13459436,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
13460112,0.004878048780487805,1021-0-4-39,1519-0-99-99,1021,1519
