o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1021-0-4-39,1386-0-99-99,13448082,13448285,60.0,1.0
1021-0-4-39,1386-0-99-99,13448285,13448601,60.0,1.0
1021-0-4-39,1386-0-99-99,13448917,114,320.0,1.0
1021-0-4-39,1386-0-99-99,13450017,13448917,320.0,1.0
1021-0-4-39,1386-0-99-99,13450770,13450017,320.0,1.0
1021-0-4-39,1386-0-99-99,13451896,113,320.0,1.0
1021-0-4-39,1386-0-99-99,13452847,13451896,320.0,1.0
1021-0-4-39,1386-0-99-99,13453356,13452847,320.0,1.0
1021-0-4-39,1386-0-99-99,13453668,13453356,320.0,1.0
1021-0-4-39,1386-0-99-99,13454680,112,320.0,1.0
1021-0-4-39,1386-0-99-99,13455032,13454680,320.0,1.0
1021-0-4-39,1386-0-99-99,13455212,13455032,320.0,1.0
1021-0-4-39,1386-0-99-99,13455496,13455212,320.0,1.0
1021-0-4-39,1386-0-99-99,13455755,13455496,320.0,1.0
1021-0-4-39,1386-0-99-99,13455968,13455755,320.0,1.0
1021-0-4-39,1386-0-99-99,13456266,13455968,320.0,1.0
1021-0-4-39,1386-0-99-99,13456650,13456266,320.0,1.0
1021-0-4-39,1386-0-99-99,13457078,13456650,320.0,1.0
1021-0-4-39,1386-0-99-99,13457785,111,320.0,1.0
1021-0-4-39,1386-0-99-99,13458124,13457785,320.0,1.0
1021-0-4-39,1386-0-99-99,13459944,110,320.0,1.0
1021-0-4-39,1386-0-99-99,13461921,108,320.0,1.0
1021-0-4-39,1386-0-99-99,13463015,107,320.0,1.0
1021-0-4-39,1386-0-99-99,13463723,106,320.0,0.5
1021-0-4-39,1386-0-99-99,14673438,13445620,353.0,1.0
1021-0-4-39,1386-0-99-99,216,106,300.0,0.25
1021-0-4-39,1519-0-99-99,105,13463723,320.0,0.05
1021-0-4-39,1519-0-99-99,106,215,300.0,0.6036585365853658
1021-0-4-39,1519-0-99-99,106,216,300.0,0.7219512195121951
1021-0-4-39,1519-0-99-99,13452053,13451957,116.0,1.0
1021-0-4-39,1519-0-99-99,13452119,13452053,116.0,1.0
1021-0-4-39,1519-0-99-99,13452308,13452119,116.0,1.0
1021-0-4-39,1519-0-99-99,13452383,13452308,116.0,1.0
1021-0-4-39,1519-0-99-99,13452476,13452383,116.0,1.0
1021-0-4-39,1519-0-99-99,13459010,13459424,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459143,13459010,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459300,13459143,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459424,13459689,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459436,13459300,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459601,13459436,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459689,13459980,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459808,13459601,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459931,13459808,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13459980,13460244,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13460103,13459931,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13460112,13460103,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13460244,13460535,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13460374,13460112,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13460535,223,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13460822,225,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13460922,13460822,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13460964,13460374,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13461057,13460922,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13461235,13461057,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13461356,222,300.0,0.9463414634146341
1021-0-4-39,1519-0-99-99,13461380,223,322.0,0.03048780487804878
1021-0-4-39,1519-0-99-99,13461421,13461235,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13461456,13460964,322.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13461456,218,322.0,0.0024390243902439024
1021-0-4-39,1519-0-99-99,13461602,13461421,306.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,13461623,13461380,322.0,0.03048780487804878
1021-0-4-39,1519-0-99-99,13461657,221,300.0,0.9463414634146341
1021-0-4-39,1519-0-99-99,13461912,13461602,306.0,0.018292682926829267
