index,station1,station2,platform1_end_time_left,platform2_start_time_left,year,month,day,hour,date,dow,period,platform1_end_time_right,platform2_start_time_right,gap,train_id
360,lawrence_east,kennedy,2019-11-29 11:15:00.981000-05:00,2019-11-29 11:20:41.515000-05:00,2019,11,29,11,2019-11-29,4,AM,2019-11-29 11:21:14.921000-05:00,2019-11-29 11:28:47.270000-05:00,485,52
306,lawrence_east,kennedy,2019-12-02 10:43:43.372000-05:00,2019-12-02 10:49:19.012000-05:00,2019,12,2,10,2019-12-02,0,AM,2019-12-02 10:52:41.406000-05:00,2019-12-02 10:56:57.121000-05:00,458,45
307,lawrence_east,kennedy,2019-12-02 10:52:41.406000-05:00,2019-12-02 10:56:57.121000-05:00,2019,12,2,10,2019-12-02,0,AM,2019-12-02 11:01:07.870000-05:00,2019-12-02 11:07:39.581000-05:00,642,46
353,lawrence_east,kennedy,2019-12-02 11:51:54.430000-05:00,2019-12-02 12:01:56.504000-05:00,2019,12,2,11,2019-12-02,0,AM,2019-12-02 11:58:49.351000-05:00,2019-12-02 12:09:44.322000-05:00,467,58
78,lawrence_east,kennedy,2019-12-18 07:53:59.249000-05:00,2019-12-18 07:59:27.101000-05:00,2019,12,18,7,2019-12-18,2,AM,2019-12-18 07:59:07.117000-05:00,2019-12-18 08:13:38.560000-05:00,851,10
211,lawrence_east,kennedy,2019-12-18 09:34:59.681000-05:00,2019-12-18 09:39:29.913000-05:00,2019,12,18,9,2019-12-18,2,AM,2019-12-18 09:38:23.376000-05:00,2019-12-18 09:47:28.773000-05:00,478,26
229,lawrence_east,kennedy,2019-12-18 09:56:19.122000-05:00,2019-12-18 10:04:54.371000-05:00,2019,12,18,9,2019-12-18,2,AM,2019-12-18 10:08:17.134000-05:00,2019-12-18 10:13:14.480000-05:00,500,33
241,lawrence_east,kennedy,2019-12-18 10:25:53.919000-05:00,2019-12-18 10:30:28.298000-05:00,2019,12,18,10,2019-12-18,2,AM,2019-12-18 10:31:43.215000-05:00,2019-12-18 10:39:59.775000-05:00,571,37
253,lawrence_east,kennedy,2019-12-18 10:49:44.161000-05:00,2019-12-18 10:57:51.280000-05:00,2019,12,18,10,2019-12-18,2,AM,2019-12-18 10:57:32.335000-05:00,2019-12-18 11:07:17.742000-05:00,566,43
257,lawrence_east,kennedy,2019-12-18 11:01:15.731000-05:00,2019-12-18 11:08:34.869000-05:00,2019,12,18,11,2019-12-18,2,AM,2019-12-18 11:15:30.368000-05:00,2019-12-18 11:20:38.060000-05:00,723,44
260,lawrence_east,kennedy,2019-12-18 11:18:51.840000-05:00,2019-12-18 11:23:56.304000-05:00,2019,12,18,11,2019-12-18,2,AM,2019-12-18 11:26:13.139000-05:00,2019-12-18 11:35:27.137000-05:00,690,46
280,lawrence_east,kennedy,2019-12-18 11:40:36.595000-05:00,2019-12-18 11:46:24.191000-05:00,2019,12,18,11,2019-12-18,2,AM,2019-12-18 11:48:25.424000-05:00,2019-12-18 11:55:39.248000-05:00,555,49
31,lawrence_east,kennedy,2019-12-10 06:19:40.286000-05:00,2019-12-10 06:25:47.218000-05:00,2019,12,10,6,2019-12-10,1,EM,2019-12-10 06:26:15.468000-05:00,2019-12-10 06:33:41.315000-05:00,474,5
24,lawrence_east,kennedy,2019-12-03 06:09:24.508000-05:00,2019-12-03 06:15:10.498000-05:00,2019,12,3,6,2019-12-03,1,EM,2019-12-03 06:20:04.095000-05:00,2019-12-03 06:24:06.186000-05:00,535,4
64,lawrence_east,kennedy,2019-12-03 06:42:58.148000-05:00,2019-12-03 06:48:07.316000-05:00,2019,12,3,6,2019-12-03,1,EM,2019-12-03 06:47:22.680000-05:00,2019-12-03 06:56:44.891000-05:00,517,9
27,lawrence_east,kennedy,2019-12-17 06:10:32.258000-05:00,2019-12-17 06:18:14.280000-05:00,2019,12,17,6,2019-12-17,1,EM,2019-12-17 06:24:48.384000-05:00,2019-12-17 06:28:43.520000-05:00,629,5
134,lawrence_east,kennedy,2019-12-17 07:42:10.478000-05:00,2019-12-17 07:51:40.019000-05:00,2019,12,17,7,2019-12-17,1,EM,2019-12-17 07:53:28.843000-05:00,2019-12-17 07:59:11.912000-05:00,451,22
