station1,station2,depart_time,arrival_time
kennedy,lawrence_east,2019-12-17 21:38:39.360999936-05:00,2019-12-17 21:43:55.795000064-05:00
kennedy,lawrence_east,2019-12-17 21:38:44.009999872-05:00,2019-12-17 21:50:35.587000064-05:00
kennedy,lawrence_east,2019-12-17 21:49:01.157499904-05:00,2019-12-17 21:57:23.872999936-05:00
kennedy,lawrence_east,2019-12-17 21:54:39.764999936-05:00,2019-12-17 22:04:30.640999936-05:00
kennedy,lawrence_east,2019-12-17 21:57:09.649999872-05:00,2019-12-17 22:06:03.760999936-05:00
kennedy,lawrence_east,2019-12-17 21:54:02.704999936-05:00,2019-12-17 22:08:11.150000128-05:00
kennedy,lawrence_east,2019-12-17 22:06:50.552000-05:00,2019-12-17 22:11:29.249999872-05:00
kennedy,lawrence_east,2019-12-17 22:10:04.611000064-05:00,2019-12-17 22:19:08.824000-05:00
kennedy,lawrence_east,2019-12-17 22:20:58.359000064-05:00,2019-12-17 22:28:47.421000192-05:00
kennedy,lawrence_east,2019-12-17 22:31:28.644000-05:00,2019-12-17 22:39:39.712999936-05:00
kennedy,lawrence_east,2019-12-17 22:33:33.122500096-05:00,2019-12-17 22:43:33.980000-05:00
kennedy,lawrence_east,2019-12-17 22:43:42.769999872-05:00,2019-12-17 22:52:55.643000064-05:00
kennedy,lawrence_east,2019-12-17 23:00:36.648999936-05:00,2019-12-17 23:07:16.715500032-05:00
kennedy,lawrence_east,2019-12-17 23:11:11.022000128-05:00,2019-12-17 23:20:41.731000064-05:00
kennedy,lawrence_east,2019-12-17 23:14:51.860499968-05:00,2019-12-17 23:25:08.017999872-05:00
kennedy,lawrence_east,2019-12-17 23:33:23.600000-05:00,2019-12-17 23:41:01.576999936-05:00
kennedy,lawrence_east,2019-12-17 23:37:44.121500160-05:00,2019-12-17 23:45:18.525499904-05:00
kennedy,lawrence_east,2019-12-17 23:51:06.897999872-05:00,2019-12-17 23:55:22.308999936-05:00
kennedy,lawrence_east,2019-12-17 23:53:17.043500032-05:00,2019-12-17 23:59:09.040999936-05:00
kennedy,lawrence_east,2019-12-17 23:51:26.833999872-05:00,2019-12-18 00:04:12.067000064-05:00
kennedy,lawrence_east,2019-12-18 00:11:42.137999872-05:00,2019-12-18 00:16:13.805499904-05:00
kennedy,lawrence_east,2019-12-18 00:20:19.829000192-05:00,2019-12-18 00:30:27.868999936-05:00
kennedy,lawrence_east,2019-12-18 00:24:25.110000128-05:00,2019-12-18 00:31:21.911000064-05:00
kennedy,lawrence_east,2019-12-18 00:28:38.476000-05:00,2019-12-18 00:36:31.716000-05:00
kennedy,lawrence_east,2019-12-18 00:40:44.720000-05:00,2019-12-18 00:47:20.236000-05:00
kennedy,lawrence_east,2019-12-18 00:39:49.895000064-05:00,2019-12-18 00:50:49.224000-05:00
kennedy,lawrence_east,2019-12-18 00:56:27.695000064-05:00,2019-12-18 01:00:52.399499776-05:00
kennedy,lawrence_east,2019-12-05 20:04:37.840000-05:00,2019-12-05 20:09:09.987000064-05:00
kennedy,lawrence_east,2019-12-05 20:04:14.060999936-05:00,2019-12-05 20:11:34.754999808-05:00
kennedy,lawrence_east,2019-12-05 20:11:06.471000064-05:00,2019-12-05 20:19:05.448000-05:00
kennedy,lawrence_east,2019-12-05 20:13:25.829499904-05:00,2019-12-05 20:22:01.120999936-05:00
kennedy,lawrence_east,2019-12-05 20:27:44.516999936-05:00,2019-12-05 20:34:23.916000-05:00
kennedy,lawrence_east,2019-12-05 20:32:58.844000-05:00,2019-12-05 20:39:18.149499904-05:00
kennedy,lawrence_east,2019-12-05 20:38:19.160999936-05:00,2019-12-05 20:43:42.207000064-05:00
kennedy,lawrence_east,2019-12-05 20:45:26.602500096-05:00,2019-12-05 20:52:26.972000-05:00
kennedy,lawrence_east,2019-12-05 20:53:19.939000064-05:00,2019-12-05 21:00:39.143000064-05:00
kennedy,lawrence_east,2019-12-05 21:02:08.536000-05:00,2019-12-05 21:08:17.647000064-05:00
kennedy,lawrence_east,2019-12-05 21:03:29.428499968-05:00,2019-12-05 21:14:44.347500032-05:00
kennedy,lawrence_east,2019-12-05 21:12:10.234000128-05:00,2019-12-05 21:22:00.093499904-05:00
kennedy,lawrence_east,2019-12-05 21:18:34.640999936-05:00,2019-12-05 21:27:33.259000064-05:00
kennedy,lawrence_east,2019-12-05 21:27:18.678000128-05:00,2019-12-05 21:35:23.772999936-05:00
kennedy,lawrence_east,2019-12-05 21:24:28.691000064-05:00,2019-12-05 21:36:00.784999936-05:00
kennedy,lawrence_east,2019-12-05 21:41:29.972999936-05:00,2019-12-05 21:48:35.015000064-05:00
kennedy,lawrence_east,2019-12-05 21:45:08.411000064-05:00,2019-12-05 21:54:40.614000128-05:00
kennedy,lawrence_east,2019-12-05 21:53:06.129999872-05:00,2019-12-05 22:02:12.136000-05:00
kennedy,lawrence_east,2019-12-05 21:52:24.678000128-05:00,2019-12-05 22:03:04.480000-05:00
kennedy,lawrence_east,2019-12-05 21:59:45.767000064-05:00,2019-12-05 22:08:34.059000064-05:00
kennedy,lawrence_east,2019-12-05 22:14:14.492000-05:00,2019-12-05 22:21:48.247500032-05:00
kennedy,lawrence_east,2019-12-05 22:14:21.992999936-05:00,2019-12-05 22:22:03.595000064-05:00
kennedy,lawrence_east,2019-12-05 22:20:23.944999936-05:00,2019-12-05 22:29:03.563000064-05:00
kennedy,lawrence_east,2019-12-05 22:11:27.438000128-05:00,2019-12-05 22:30:42.379000064-05:00
kennedy,lawrence_east,2019-12-05 22:31:47.268999936-05:00,2019-12-05 22:43:33.384999936-05:00
kennedy,lawrence_east,2019-12-05 22:49:20.898500096-05:00,2019-12-05 22:56:07.986999808-05:00
kennedy,lawrence_east,2019-12-05 22:49:39.137999872-05:00,2019-12-05 22:56:26.915000064-05:00
kennedy,lawrence_east,2019-12-05 22:53:55.934000128-05:00,2019-12-05 23:02:23.139000064-05:00
kennedy,lawrence_east,2019-12-05 23:00:04.710000128-05:00,2019-12-05 23:08:37.516000-05:00
kennedy,lawrence_east,2019-12-05 23:05:50.295500032-05:00,2019-12-05 23:12:05.334000128-05:00
kennedy,lawrence_east,2019-12-05 23:08:47.396999936-05:00,2019-12-05 23:15:35.031000064-05:00
kennedy,lawrence_east,2019-12-05 23:15:50.635000064-05:00,2019-12-05 23:23:37.200000-05:00
kennedy,lawrence_east,2019-12-05 23:21:09.697999872-05:00,2019-12-05 23:29:15.755000064-05:00
kennedy,lawrence_east,2019-12-05 23:29:46.489500160-05:00,2019-12-05 23:36:20.788000-05:00
kennedy,lawrence_east,2019-12-05 23:33:53.975000064-05:00,2019-12-05 23:42:37.212999936-05:00
kennedy,lawrence_east,2019-12-05 23:34:14.228999936-05:00,2019-12-05 23:43:36.980999936-05:00
kennedy,lawrence_east,2019-12-05 23:43:39.865999872-05:00,2019-12-05 23:55:41.494000128-05:00
kennedy,lawrence_east,2019-12-06 00:00:14.579000064-05:00,2019-12-06 00:07:08.697999872-05:00
kennedy,lawrence_east,2019-12-06 00:15:37.374000128-05:00,2019-12-06 00:23:25.031000064-05:00
kennedy,lawrence_east,2019-12-06 00:19:05.510000128-05:00,2019-12-06 00:31:47.479000064-05:00
kennedy,lawrence_east,2019-12-06 00:32:49.251000064-05:00,2019-12-06 00:38:38.699000064-05:00
kennedy,lawrence_east,2019-12-06 00:29:15.944999936-05:00,2019-12-06 00:39:32.231000064-05:00
kennedy,lawrence_east,2019-12-06 00:46:19.300999936-05:00,2019-12-06 00:52:42.703000064-05:00
kennedy,lawrence_east,2019-12-06 00:55:31.829499904-05:00,2019-12-06 01:02:05.880500224-05:00
kennedy,lawrence_east,2019-12-04 20:03:17.118000128-05:00,2019-12-04 20:09:08.745500160-05:00
kennedy,lawrence_east,2019-12-04 20:08:56.728000-05:00,2019-12-04 20:14:46.885000192-05:00
kennedy,lawrence_east,2019-12-04 20:11:09.068000-05:00,2019-12-04 20:17:59.094000128-05:00
kennedy,lawrence_east,2019-12-04 20:11:36.615000064-05:00,2019-12-04 20:19:54.979000064-05:00
kennedy,lawrence_east,2019-12-04 20:19:04.284000-05:00,2019-12-04 20:27:44.011000064-05:00
kennedy,lawrence_east,2019-12-04 20:22:54.080000-05:00,2019-12-04 20:29:52.623499776-05:00
kennedy,lawrence_east,2019-12-04 20:28:33.530999808-05:00,2019-12-04 20:34:03.247000064-05:00
kennedy,lawrence_east,2019-12-04 20:31:21.712000-05:00,2019-12-04 20:36:05.153999872-05:00
kennedy,lawrence_east,2019-12-04 20:38:53.779000064-05:00,2019-12-04 20:46:41.888999936-05:00
kennedy,lawrence_east,2019-12-04 20:38:54.376999936-05:00,2019-12-04 20:47:05.484999936-05:00
kennedy,lawrence_east,2019-12-04 20:42:10.539500032-05:00,2019-12-04 20:52:24.639000064-05:00
kennedy,lawrence_east,2019-12-04 20:49:44.773499904-05:00,2019-12-04 20:57:42.324499968-05:00
kennedy,lawrence_east,2019-12-04 20:52:04.219000064-05:00,2019-12-04 20:59:24.316999936-05:00
kennedy,lawrence_east,2019-12-04 21:04:47.996999936-05:00,2019-12-04 21:12:59.524000-05:00
kennedy,lawrence_east,2019-12-04 21:12:19.856000-05:00,2019-12-04 21:23:40.818999808-05:00
kennedy,lawrence_east,2019-12-04 21:12:23.575000064-05:00,2019-12-04 21:23:52.804000-05:00
kennedy,lawrence_east,2019-12-04 21:37:49.254000128-05:00,2019-12-04 21:48:37.345999872-05:00
kennedy,lawrence_east,2019-12-04 21:37:58.743000064-05:00,2019-12-04 21:50:09.667000064-05:00
kennedy,lawrence_east,2019-12-04 21:43:35.714500096-05:00,2019-12-04 21:53:02.667500032-05:00
kennedy,lawrence_east,2019-12-04 21:49:42.704000-05:00,2019-12-04 21:54:26.017999872-05:00
kennedy,lawrence_east,2019-12-04 21:58:56.459000064-05:00,2019-12-04 22:07:48.680999936-05:00
kennedy,lawrence_east,2019-12-04 22:03:52.764000-05:00,2019-12-04 22:14:19.264999936-05:00
kennedy,lawrence_east,2019-12-04 22:11:56.401999872-05:00,2019-12-04 22:20:27.932999936-05:00
kennedy,lawrence_east,2019-12-04 22:18:47.319000064-05:00,2019-12-04 22:27:33.568999936-05:00
kennedy,lawrence_east,2019-12-04 22:23:31.807000064-05:00,2019-12-04 22:33:58.007500032-05:00
kennedy,lawrence_east,2019-12-04 22:31:54.921999872-05:00,2019-12-04 22:40:52.991000064-05:00
kennedy,lawrence_east,2019-12-04 22:34:19.765499904-05:00,2019-12-04 22:44:21.596999936-05:00
kennedy,lawrence_east,2019-12-04 22:50:00.704000-05:00,2019-12-04 22:54:42.911000064-05:00
kennedy,lawrence_east,2019-12-04 22:48:45.974000128-05:00,2019-12-04 22:54:48.748000-05:00
kennedy,lawrence_east,2019-12-04 23:07:29.663000064-05:00,2019-12-04 23:14:17.996999936-05:00
kennedy,lawrence_east,2019-12-04 23:10:11.824000-05:00,2019-12-04 23:15:06.836000-05:00
kennedy,lawrence_east,2019-12-04 23:15:39.964999936-05:00,2019-12-04 23:21:16.195000064-05:00
kennedy,lawrence_east,2019-12-04 23:14:36.433999872-05:00,2019-12-04 23:23:05.571000064-05:00
kennedy,lawrence_east,2019-12-04 23:20:10.475000064-05:00,2019-12-04 23:27:51.564999936-05:00
kennedy,lawrence_east,2019-12-04 23:24:08.510000128-05:00,2019-12-04 23:34:46.988000-05:00
kennedy,lawrence_east,2019-12-04 23:46:59.767000064-05:00,2019-12-04 23:54:52.562500096-05:00
kennedy,lawrence_east,2019-12-04 23:48:04.328000-05:00,2019-12-04 23:56:41.780999936-05:00
kennedy,lawrence_east,2019-12-04 23:54:10.912999936-05:00,2019-12-05 00:03:03.160999936-05:00
kennedy,lawrence_east,2019-12-05 00:01:43.231000064-05:00,2019-12-05 00:14:44.993999872-05:00
kennedy,lawrence_east,2019-12-05 00:15:04.660000-05:00,2019-12-05 00:25:10.684499968-05:00
kennedy,lawrence_east,2019-12-05 00:22:30.324000-05:00,2019-12-05 00:31:48.044000-05:00
