o_node,d_node,origin,destination,travel_time,date,period,trial
1290-0-4-5,1307-0-99-99,1290,1307,33.0,2019-11-28,EM,0
1353-0-4-5,1307-0-99-99,1353,1307,39.0,2019-11-28,EM,0
1458-0-4-5,1313-0-99-99,1458,1313,117.0,2019-11-28,EM,0
1124-0-4-5,1317-0-99-99,1124,1317,33.0,2019-11-28,EM,0
1326-0-4-5,1317-0-99-99,1326,1317,65.0,2019-11-28,EM,0
1133-0-4-5,1331-0-99-99,1133,1331,76.0,2019-11-28,EM,0
1177-0-4-5,1355-0-99-99,1177,1355,70.0,2019-11-28,EM,0
1110-0-4-5,1356-0-99-99,1110,1356,99.0,2019-11-28,EM,0
1039-0-4-5,1357-0-99-99,1039,1357,85.0,2019-11-28,EM,0
1385-0-4-5,1358-0-99-99,1385,1358,75.0,2019-11-28,EM,0
1021-0-4-5,1361-0-99-99,1021,1361,113.0,2019-11-28,EM,0
1062-0-4-5,1371-0-99-99,1062,1371,117.0,2019-11-28,EM,0
1173-0-4-5,1378-0-99-99,1173,1378,116.0,2019-11-28,EM,0
1232-0-4-5,1378-0-99-99,1232,1378,134.0,2019-11-28,EM,0
1342-0-4-5,1378-0-99-99,1342,1378,80.0,2019-11-28,EM,0
1351-0-4-5,1379-0-99-99,1351,1379,93.0,2019-11-28,EM,0
1021-0-4-5,1386-0-99-99,1021,1386,94.0,2019-11-28,EM,0
1249-0-4-5,1388-0-99-99,1249,1388,117.0,2019-11-28,EM,0
1396-0-4-5,1388-0-99-99,1396,1388,64.0,2019-11-28,EM,0
1538-0-4-5,1388-0-99-99,1538,1388,129.0,2019-11-28,EM,0
1445-0-4-5,1391-0-99-99,1445,1391,51.0,2019-11-28,EM,0
1265-0-4-5,1393-0-99-99,1265,1393,107.0,2019-11-28,EM,0
1531-0-4-5,1393-0-99-99,1531,1393,107.0,2019-11-28,EM,0
1173-0-4-5,1394-0-99-99,1173,1394,84.0,2019-11-28,EM,0
1401-0-4-5,1395-0-99-99,1401,1395,35.0,2019-11-28,EM,0
1140-0-4-5,1402-0-99-99,1140,1402,41.0,2019-11-28,EM,0
1173-0-4-5,1402-0-99-99,1173,1402,100.0,2019-11-28,EM,0
1400-0-4-5,1402-0-99-99,1400,1402,41.0,2019-11-28,EM,0
1415-0-4-5,1402-0-99-99,1415,1402,41.0,2019-11-28,EM,0
1423-0-4-5,1411-0-99-99,1423,1411,31.0,2019-11-28,EM,0
1407-0-4-5,1415-0-99-99,1407,1415,46.0,2019-11-28,EM,0
1606-0-4-5,1415-0-99-99,1606,1415,106.0,2019-11-28,EM,0
1381-0-4-5,1421-0-99-99,1381,1421,57.0,2019-11-28,EM,0
1041-0-4-5,1423-0-99-99,1041,1423,72.0,2019-11-28,EM,0
1062-0-4-5,1442-0-99-99,1062,1442,75.0,2019-11-28,EM,0
1482-0-4-5,1472-0-99-99,1482,1472,47.0,2019-11-28,EM,0
1538-0-4-5,1476-0-99-99,1538,1476,91.0,2019-11-28,EM,0
1583-0-4-5,1481-0-99-99,1583,1481,49.0,2019-11-28,EM,0
1524-0-4-5,1486-0-99-99,1524,1486,67.0,2019-11-28,EM,0
1531-0-4-5,1490-0-99-99,1531,1490,61.0,2019-11-28,EM,0
1366-0-4-5,1492-0-99-99,1366,1492,104.0,2019-11-28,EM,0
1579-0-4-5,1492-0-99-99,1579,1492,38.0,2019-11-28,EM,0
1513-0-4-5,1503-0-99-99,1513,1503,45.0,2019-11-28,EM,0
