ward,cc,neighbor_avg,transfer_avg,mean_random,cc_normalized,ward_name,period
15,0.009873197812126035,0.4337566137566137,0.12979591836734694,0.022204081632653062,0.44465688675935267,Don Valley West,MD
16,0.004849180237077594,0.4167789074267176,0.16258255126868268,0.030262667163940542,0.16023638005230523,Don Valley East,MD
17,0.008526406033559019,0.4631751185322611,0.16571969696969693,0.0337465564738292,0.2526600318515856,Don Valley North,MD
18,0.004091611562306968,0.4203098811988564,0.13854382332643203,0.02888048729258559,0.14167391016831618,Willowdale,MD
19,0.0030697267043581326,0.3732498040368413,0.12375073486184596,0.024843773814967232,0.12356120802020679,Beaches-East York,MD
20,0.005581457798561083,0.4298644023170088,0.161560595802302,0.019900721008063612,0.28046510457081036,Scarborough Southwest,MD
21,0.005260509223501812,0.45961164847883595,0.16331845238095236,0.021918402777777776,0.24000422279105296,Scarborough Centre,MD
22,0.008306651954905951,0.4744444444444445,0.18187830687830678,0.03390946502057613,0.24496558556336726,Scarborough-Agincourt,MD
23,0.004598281930428269,0.39537473794549266,0.1610137765798143,0.027055891776432896,0.16995492029701326,Scarborough North,MD
24,0.008239145657414326,0.5675051759834366,0.18819875776397518,0.035689981096408314,0.23085318076123829,Scarborough-Guildwood,MD
25,0.00476184401349651,0.28957014404991294,0.09014588494357281,0.022252664639647163,0.21398983405395955,Scarborough-Rouge Park,MD
1,0.0024222762563838943,0.4489840888278388,0.15602106227106222,0.020247781065088757,0.11963168944770868,Etobicoke North,PM
2,0.0016524143872436168,0.4638331492390772,0.13392857142857142,0.02189393134233181,0.07547362606589898,Etobicoke Centre,PM
3,0.004950957534817748,0.4926360417111544,0.15126521460602174,0.017977437712401213,0.27539839737019217,Etobicoke-Lakeshore,PM
4,0.00579546798294309,0.6240412903667213,0.2568247126436782,0.03537455410225922,0.16383154869429037,Parkdale-High Park,PM
5,0.004100214497586536,0.5975496520447259,0.2035098522167488,0.02477209671026556,0.16551745883857327,York South-Weston,PM
6,0.00858955431843744,0.6225216757599821,0.25824873096446693,0.021438326161457393,0.40066347781759454,York Centre,PM
7,0.0035265646638296616,0.5127564157685545,0.21682718031032638,0.0232293902285065,0.15181477555540626,Humber River-Black Creek,PM
8,0.0023533727446664343,0.6062861915010829,0.2196663976324994,0.023747965144115677,0.09909786924415956,Eglinton-Lawrence,PM
9,0.0030264877673686504,0.7211223597050371,0.2806992875890514,0.03385206770413541,0.08940333553093216,Davenport,PM
10,0.011240674473803954,1.015523885836385,0.4475732600732601,0.04049556213017751,0.27757793403804465,Spadina-Fort York,PM
11,0.005254218654447451,0.73732424071991,0.36047056617922757,0.03459606919213838,0.1518732843684282,University-Rosedale,PM
12,0.009871536742609599,0.7261624743983616,0.2996831797235024,0.03303850156087409,0.29878887589441966,Toronto-St. Paul's,PM
13,0.008166223895446053,0.9483767562007621,0.42390770741286216,0.045700924646614946,0.17868837356337652,Toronto Centre,PM
14,0.005699711300413732,0.7357397762345679,0.269675925925926,0.02961033950617284,0.19249057577423312,Toronto-Danforth,PM
15,0.009932162209288628,0.5742203614025647,0.19040893193435565,0.022343515592581954,0.4445210140782906,Don Valley West,PM
16,0.007174688776698893,0.6217371510954502,0.2763360739979445,0.030640236012628747,0.23415905718682314,Don Valley East,PM
17,0.010235433630632144,0.6739595496158665,0.2472459132906894,0.034417464914234794,0.2973906897599204,Don Valley North,PM
18,0.004028605621532084,0.557392618883302,0.18547273982056592,0.029615626969124134,0.13602972598662588,Willowdale,PM
19,0.0029303289077855297,0.4981346756809719,0.168614050558495,0.02507239750038104,0.11687469886918457,Beaches-East York,PM
20,0.005290905943467422,0.5806573478522531,0.22830625141051678,0.02017025673277779,0.26231227562262033,Scarborough Southwest,PM
21,0.006656020291557458,0.6805217486300076,0.25068204365079366,0.023220486111111112,0.2866443131167922,Scarborough Centre,PM
22,0.011012359191582707,0.6584282150360141,0.2679009103641457,0.03535899653979239,0.3114443357913054,Scarborough-Agincourt,PM
23,0.0061572488437694585,0.544885569531796,0.2190401317759808,0.026660337803093234,0.2309516439456019,Scarborough North,PM
24,0.012674935238512054,0.8086641649413391,0.27701863354037276,0.03705103969754253,0.3420939153659631,Scarborough-Guildwood,PM
25,0.0051484980640462375,0.4629054771133259,0.1361780177187154,0.022038939967550027,0.23360915142138633,Scarborough-Rouge Park,PM
1,0.0010318280455240767,0.3333157078398193,0.09862218999274838,0.020459171841583138,0.05043351967096208,Etobicoke North,EV
2,0.0013504448197666564,0.2997907928283575,0.0843510979521342,0.022014013799028162,0.061344779379863636,Etobicoke Centre,EV
3,0.004621129914352823,0.3033270202020207,0.09212662337662336,0.018016528925619835,0.25649390809022554,Etobicoke-Lakeshore,EV
4,0.005551013375382568,0.4479349415204679,0.18656015037593987,0.03570329332102185,0.15547622807429282,Parkdale-High Park,EV
5,0.003081348581900839,0.4019584701696771,0.13368910782703888,0.024177566389219182,0.12744659790386587,York South-Weston,EV
6,0.007140725294728231,0.45455794636695296,0.16715191511387167,0.022093572778827977,0.3232037374041698,York Centre,EV
7,0.0043851852853150665,0.39860031314112954,0.14561062520246193,0.027766208524226017,0.15793244805062212,Humber River-Black Creek,EV
8,0.0031034751199403797,0.46887329931972804,0.1593877551020408,0.023640816326530614,0.13127614025990902,Eglinton-Lawrence,EV
9,0.0036037897369669996,0.5463340519935007,0.2097394075740532,0.03385206770413541,0.10645700488560574,Davenport,EV
10,0.011034777680832906,0.7399072724327824,0.31833090379008744,0.04144106622240733,0.2662763940872343,Spadina-Fort York,EV
11,0.0035654497671246633,0.5307748099239697,0.2611044417767107,0.03629687168985241,0.09823022208609408,University-Rosedale,EV
12,0.009332349948778518,0.535707559860102,0.20591202582728008,0.03375466819879345,0.2764758312484938,Toronto-St. Paul's,EV
13,0.002744222601076153,0.579299340218015,0.261259323006311,0.05312817535201045,0.05165286748309732,Toronto Centre,EV
